position,checkpoint,topAvailabilityStrategy,topStrategyPct,availabilityIncrementalPctVsRateGate,gamesMaeImprovementPct,availabilityRecommendation
QB,4,health_knn,50.0,12.423402140743631,17.500344798753225,availability-layer
QB,8,current_availability,50.0,19.703346187245305,28.68632810878452,availability-layer
QB,12,current_availability,50.0,23.683411118739244,31.572452337865684,availability-layer
RB,4,health_knn,91.66666666666667,11.440329398597784,12.443136485450035,availability-layer
RB,8,health_knn,75.0,13.36780621541366,16.788018358674623,availability-layer
RB,12,health_knn,58.333333333333336,15.247838935878185,16.60362613845071,availability-layer
TE,4,health_knn,91.66666666666667,10.610835714632739,17.453486399368085,availability-layer
TE,8,health_knn,91.66666666666667,15.777900232061826,22.236614993546393,availability-layer
TE,12,health_knn,91.66666666666667,14.061741212592407,18.6162224813391,availability-layer
WR,4,health_knn,91.66666666666667,12.361541263133335,12.804152354863527,availability-layer
WR,8,health_knn,91.66666666666667,13.567566117572776,13.013975740694683,availability-layer
WR,12,health_knn,58.333333333333336,14.738597026052602,13.728505831582721,availability-layer
