position,checkpoint,rows,paceFullAvailMae,rateGateFullAvailMae,availabilityMae,rateGateImprovementPctVsPace,availabilityIncrementalPctVsRateGate,availabilityImprovementPctVsPace,fullAvailGamesMae,selectedGamesMae,gamesMaeImprovementPct
QB,4,425,919.6258823529412,852.9563443066895,746.9901475684836,7.249636980167627,12.423402140743631,18.772387565120972,3.072941176470588,2.5351658751253714,17.500344798753225
QB,8,512,730.6992885044642,709.1683383564258,569.4384455997241,2.9466225691975434,19.703346187245305,22.069385510802352,2.87890625,2.0530537571806957,28.68632810878452
QB,12,581,478.2038176826042,478.2038176826042,364.9488415553268,0.0,23.683411118739244,23.683411118739244,1.9845094664371772,1.3579511610058668,31.572452337865684
RB,4,880,295.55918560606057,279.2968005275245,247.3443265474311,5.502243161615542,11.440329398597784,16.313097818212686,2.9170454545454545,2.5540735072937473,12.443136485450035
RB,8,1129,195.07521299928297,195.11404825262304,169.03158038316369,-0.019907835927986665,13.36780621541366,13.350559620414211,2.3782108060230294,1.9789563392998994,16.788018358674623
RB,12,1274,122.00463850208747,122.00463850208747,103.40156772898875,0.0,15.247838935878185,15.247838935878185,1.5792778649921506,1.3170604726015476,16.60362613845071
TE,4,634,167.43375394321765,153.4556019454471,137.17268012811496,8.348467180943093,10.610835714632739,18.073460758315928,2.8722397476340693,2.370933773923513,17.453486399368085
TE,8,872,106.06082350371341,100.58942636813975,84.71852703177137,5.158735294358796,15.777900232061826,20.122695418440532,2.4954128440366974,1.9405174974087507,22.236614993546393
TE,12,989,64.80070424744339,64.71292443587683,55.613160470603354,0.1354611999761189,14.061741212592407,14.178154209184413,1.6774519716885743,1.36517378062142,18.6162224813391
WR,4,1422,220.60730192217537,202.3977426781742,177.37826220136128,8.254286728199515,12.361541263133335,19.595470931449128,2.7341772151898733,2.384088998904997,12.804152354863527
WR,8,1765,148.58861796843385,144.0496580628357,124.50562546302297,3.054715743141513,13.567566117572776,16.20783128255966,2.2339943342776203,1.943262853566237,13.013975740694683
WR,12,1940,91.3131896840273,91.3131896840273,77.85490662486347,0.0,14.738597026052602,14.738597026052602,1.4675257731958762,1.266056411842701,13.728505831582721
