season,position,checkpoint,historyEnabled,rateFeatureCount,selectedAvailabilityStrategy,availabilityFeatureCount,validationBlocks,validationMae,validationGamesMae
2014,QB,4,True,13,full_available,0,1,1115.6764705882354,3.176470588235294
2015,QB,4,True,13,prior_availability,1,2,818.180528589396,2.4680164319248825
2016,QB,4,True,13,current_availability,1,3,777.7720108114338,2.385802469135802
2017,QB,4,True,13,current_availability,1,4,728.7921819879825,2.228438228438228
2018,QB,4,True,13,current_availability,1,5,731.3049728096438,2.2323809523809524
2019,QB,4,True,13,current_availability,1,6,752.8750470484689,2.3064770932069507
2020,QB,4,True,13,health_knn,13,7,767.530999719544,2.6942466688421716
2021,QB,4,True,13,health_knn,13,8,764.8334212275383,2.699340071407164
2022,QB,4,True,13,health_knn,13,9,749.444718790277,2.60178029134098
2023,QB,4,True,13,health_knn,13,10,745.7788017156788,2.6131484910174465
2024,QB,4,True,13,health_knn,13,11,751.6879149009893,2.633417397857839
2025,QB,4,True,13,health_knn,13,12,758.710194315505,2.6655798986696
2014,QB,8,True,13,full_available,0,1,775.8751937984496,2.5813953488372094
2015,QB,8,True,13,health_knn,13,2,564.3442333092004,2.1327783659897777
2016,QB,8,True,13,current_availability,1,3,570.5517468866586,1.9302071973827697
2017,QB,8,True,13,current_availability,1,4,538.3399953984249,1.8125516102394714
2018,QB,8,True,13,current_availability,1,5,541.9574619423546,1.8157543391188253
2019,QB,8,True,13,current_availability,1,6,537.9658656099633,1.7619047619047619
2020,QB,8,True,13,current_availability,1,7,552.4953805338913,1.7897754419493548
2021,QB,8,True,13,current_availability,1,8,556.2229881068541,1.799081035923141
2022,QB,8,True,13,health_knn,13,9,550.6302337628234,2.0133340807452806
2023,QB,8,True,13,health_knn,13,10,548.1205333988723,2.0063795970086002
2024,QB,8,True,13,health_knn,13,11,552.4797221193114,2.0645031589220535
2025,QB,8,True,13,health_knn,13,12,555.599363527358,2.0895500925563364
2014,QB,12,False,0,full_available,0,1,419.47513031186503,1.7755102040816326
2015,QB,12,False,0,health_knn,13,2,301.68117238733885,1.1263509732196386
2016,QB,12,False,0,health_knn,13,3,320.7122380918942,1.1604549211807607
2017,QB,12,False,0,health_knn,13,4,312.6903107808104,1.1189132846368957
2018,QB,12,False,0,health_knn,13,5,307.75366985444094,1.120416177130752
2019,QB,12,False,0,current_availability,1,6,326.3525111252384,1.086670904852723
2020,QB,12,False,0,current_availability,1,7,323.7069199457259,1.074265038444143
2021,QB,12,False,0,current_availability,1,8,325.8694272568618,1.0836109788989368
2022,QB,12,False,0,current_availability,1,9,326.5192645714688,1.1124586936651901
2023,QB,12,False,0,current_availability,1,10,330.0633320654241,1.1420692278432867
2024,QB,12,False,0,current_availability,1,11,337.6099914236707,1.1952115494568325
2025,QB,12,False,0,health_knn,13,12,340.5063536753419,1.3337483459374777
2014,RB,4,True,13,full_available,0,1,271.5657894736842,2.1578947368421053
2015,RB,4,True,13,health_knn,13,2,251.65224058596868,2.3097065511670163
2016,RB,4,True,13,health_knn,13,3,258.4505286032265,2.4808646709208544
2017,RB,4,True,13,health_knn,13,4,257.2902714261759,2.5295298169152396
2018,RB,4,True,13,health_knn,13,5,260.34304455439974,2.584560908801099
2019,RB,4,True,13,health_knn,13,6,253.38040535591452,2.5269856999728937
2020,RB,4,True,13,health_knn,13,7,248.84704658888796,2.5010699931536915
2021,RB,4,True,13,health_knn,13,8,240.73857649825948,2.4595878088017606
2022,RB,4,True,13,health_knn,13,9,240.96162129160587,2.447246209558824
2023,RB,4,True,13,health_knn,13,10,246.22758962501211,2.472745837570898
2024,RB,4,True,13,health_knn,13,11,242.2053253452945,2.4904606277400907
2025,RB,4,True,13,health_knn,13,12,242.5222282387792,2.445715776423334
2014,RB,8,True,13,full_available,0,1,172.86285714285714,1.82
2015,RB,8,False,0,current_availability,1,2,164.64377388594204,1.6923620933521923
