position,checkpoint,rows,paceMae,fullHistoryMae,shrinkageMae,shrinkageImprovementPctVsPace,shrinkageImprovementPctVsFullHistory,fullHistoryImprovementPctVsPace
QB,4,425,474.21110422910425,400.27259347856335,403.64832687999507,14.880034803026964,-0.8433586152114371,15.591897804826434
QB,8,512,360.2823775020552,338.288284201323,340.72546095946177,5.428219020366017,-0.72044373747462,6.104681958974461
QB,12,581,241.50508532632026,251.15658155504846,241.50508532632026,0.0,3.842820350942224,-3.9963946165718047
RB,4,880,227.17729119838498,210.6207417328988,212.3333332096162,6.534085299840174,-0.8131162499129528,7.287942108187208
RB,8,1129,143.90776776490907,147.41870517790227,143.2501849859286,0.45694738317024763,2.8276738606157026,-2.439713621803061
RB,12,1274,88.79914075437034,92.31732974982476,88.79914075437034,0.0,3.810973524676824,-3.9619628811343786
TE,4,634,139.59415302100632,124.89107090395254,127.11982312922498,8.936140677685966,-1.7845569015790295,10.532734931126551
TE,8,872,86.09487820570101,80.66725913607058,80.7769643196981,6.176806329056137,-0.1359971626685112,6.304229917908194
TE,12,989,52.107730593751825,52.41764444206465,51.987602197850784,0.23053852956598636,0.8204150506785473,-0.5947559887591529
WR,4,1422,182.16134460456718,161.99075650575847,162.80577170234264,10.625510557270696,-0.5031245079438825,11.072924468467603
WR,8,1765,120.0505196636854,115.4399005560454,116.10916216123303,3.2830824168807116,-0.5797489446577494,3.8405657222945706
WR,12,1940,72.71931259748271,73.55631955755739,72.4990843640221,0.3028469681494765,1.437313883966164,-1.1510105502615118
