season,position,checkpoint,selectedHistoryWeight,validationBlocks,validationMae,validationPaceMae,validationImprovementPctVsPace
2014,QB,4,0.0,1,584.7033723221223,584.7033723221223,0.0
2015,QB,4,1.0,2,397.17391147635357,485.19860563927466,18.141992400605506
2016,QB,4,0.75,3,409.5065432743519,453.3933906628351,9.67963986513415
2017,QB,4,1.0,4,406.6537036496217,458.86299195171574,11.377968852974702
2018,QB,4,1.0,5,397.2217878839646,454.72033767819477,12.644815951672218
2019,QB,4,1.0,6,402.069192302523,467.60457221162204,14.015128123991044
2020,QB,4,1.0,7,415.8216682660595,481.8502066090272,13.703125460428252
2021,QB,4,1.0,8,401.6802606060046,475.77679018458076,15.573800804749203
2022,QB,4,1.0,9,403.6958039704416,492.3441068857997,18.005354725596476
2023,QB,4,1.0,10,396.8809691397096,485.67733029089266,18.282994822508844
2024,QB,4,1.0,11,398.5429846835235,483.5744064154038,17.583937570681925
2025,QB,4,1.0,12,404.09529747708723,484.88562698518166,16.66172907834272
2014,QB,8,0.0,1,431.7918568188915,431.7918568188915,0.0
2015,QB,8,0.5,2,335.5888144738938,353.73271560814663,5.129268606964821
2016,QB,8,0.75,3,347.1031969128829,369.5293691465447,6.068847054148014
2017,QB,8,0.5,4,344.5066436950141,359.36788073038065,4.135382662791827
2018,QB,8,0.5,5,337.86289279381,350.82235107830905,3.694022984757412
2019,QB,8,0.75,6,334.1467567008015,350.15036213786215,4.570495183654742
2020,QB,8,0.75,7,347.7360331695173,362.5698993639211,4.0913121084865915
2021,QB,8,0.75,8,349.4077972875177,364.464189972633,4.1311034387893715
2022,QB,8,0.75,9,345.65565424205556,368.38749652214216,6.170633502681946
2023,QB,8,0.75,10,341.72508317760844,365.15759602559245,6.41709582465915
2024,QB,8,0.75,11,338.5149711544663,359.43465171083704,5.820162429191854
2025,QB,8,0.75,12,338.6968163368633,360.56313009702717,6.064489664897142
2014,QB,12,0.0,1,182.56088630757,182.56088630757,0.0
2015,QB,12,0.0,2,195.01025954286266,195.01025954286266,0.0
2016,QB,12,0.0,3,209.37478818745942,209.37478818745942,0.0
2017,QB,12,0.0,4,214.5463239379255,214.5463239379255,0.0
2018,QB,12,0.0,5,209.6723020122602,209.6723020122602,0.0
2019,QB,12,0.0,6,222.04111337380567,222.04111337380567,0.0
2020,QB,12,0.0,7,223.15608004764724,223.15608004764724,0.0
2021,QB,12,0.0,8,221.60236805079734,221.60236805079734,0.0
2022,QB,12,0.0,9,227.61619390856632,227.61619390856632,0.0
2023,QB,12,0.0,10,225.8391834281479,225.8391834281479,0.0
2024,QB,12,0.0,11,226.56776464887315,226.56776464887315,0.0
2025,QB,12,0.0,12,230.81416701963175,230.81416701963175,0.0
2014,RB,4,0.0,1,226.88236184502637,226.88236184502637,0.0
2015,RB,4,1.0,2,220.26468625244246,234.6964735921973,6.149128326841052
2016,RB,4,0.75,3,217.72688009419588,229.30651039594625,5.049848031682872
2017,RB,4,0.5,4,221.12311737724897,230.19739586071822,3.9419553160191563
2018,RB,4,0.75,5,225.0637556826709,235.39548400514764,4.3890936846735835
2019,RB,4,0.75,6,220.03308847873205,231.29527530185865,4.869181529293477
2020,RB,4,0.75,7,217.12885420727866,231.15611565947282,6.068306439643754
2021,RB,4,0.75,8,214.8396641070274,229.85975140987458,6.534457298730866
2022,RB,4,0.75,9,212.03950367100353,228.12671772060537,7.051876347646576
2023,RB,4,0.75,10,215.08515540773703,232.03235941309137,7.303810575482244
2024,RB,4,0.75,11,211.847555695852,228.61817234565405,7.335644615532174
2025,RB,4,0.75,12,212.97794759737187,229.67651880036192,7.27047383433423
2014,RB,8,0.0,1,146.06989287101788,146.06989287101788,0.0
2015,RB,8,0.5,2,147.30247271416656,148.433170047774,0.7617551610893554
2016,RB,8,0.25,3,141.44296347006656,141.88009946730975,0.308102403990708
2017,RB,8,0.25,4,137.5672149669378,138.3020753629856,0.5313444459304673
2018,RB,8,0.25,5,141.17148214805528,141.65509574990423,0.3414021919146423
2019,RB,8,0.25,6,142.49289362711107,142.86678127902485,0.26170369946499866
2020,RB,8,0.25,7,143.17186449535734,143.8182809987602,0.4494675495449939
2021,RB,8,0.25,8,142.75721766001,143.34114837932668,0.4073713137635823
2022,RB,8,0.25,9,143.72507047437153,144.42375145495825,0.4837715220301659
2023,RB,8,0.25,10,144.34721137156262,145.08429838331875,0.5080405115987924
2024,RB,8,0.25,11,144.47761776809983,145.28323147913605,0.5545125220813312
2025,RB,8,0.25,12,143.90297197934004,144.64019580827812,0.5096949881866043
2014,RB,12,0.0,1,86.9275189769456,86.9275189769456,0.0
2015,RB,12,0.0,2,92.0257294696454,92.0257294696454,0.0
2016,RB,12,0.0,3,87.5725990303229,87.5725990303229,0.0
2017,RB,12,0.0,4,86.47842977926868,86.47842977926868,0.0
2018,RB,12,0.0,5,86.55070225668051,86.55070225668051,0.0
2019,RB,12,0.0,6,87.32130933423437,87.32130933423437,0.0
2020,RB,12,0.0,7,89.51056706441706,89.51056706441706,0.0
2021,RB,12,0.0,8,89.54132693164014,89.54132693164014,0.0
2022,RB,12,0.0,9,89.62833762529952,89.62833762529952,0.0
2023,RB,12,0.0,10,88.97157367676171,88.97157367676171,0.0
2024,RB,12,0.0,11,89.2405340662619,89.2405340662619,0.0
2025,RB,12,0.0,12,89.09420932936496,89.09420932936496,0.0
2014,TE,4,0.0,1,161.98143456543457,161.98143456543457,0.0
2015,TE,4,1.0,2,149.63165718424423,173.0059353874948,13.510679937597155
2016,TE,4,1.0,3,145.1369296545101,167.18539115205783,13.18803117043539
2017,TE,4,1.0,4,135.85399571492238,157.8429228338711,13.930892005903852
2018,TE,4,1.0,5,128.74408415234814,147.4881684981685,12.708873217890106
2019,TE,4,1.0,6,130.03483820500284,146.30496287172423,11.120692249507995
2020,TE,4,1.0,7,128.08668532192016,145.9953061094888,12.266572991146802
2021,TE,4,1.0,8,127.56401169329556,145.84136523034627,12.532352195265663
2022,TE,4,1.0,9,124.24872590463451,140.1641610344604,11.354853489197536
2023,TE,4,1.0,10,123.12040857558202,139.82431519069044,11.946353245018843
2024,TE,4,1.0,11,124.39208407805387,141.16255428599177,11.880254145841931
2025,TE,4,1.0,12,126.33043624976473,142.2935477479595,11.21843664090081
2014,TE,8,0.0,1,84.88709831834831,84.88709831834831,0.0
2015,TE,8,0.75,2,84.9187573026582,89.89870494731608,5.539509882346263
2016,TE,8,0.75,3,86.28583892523767,91.56298757332411,5.7634081062071845
2017,TE,8,0.75,4,86.60419420909011,92.66454726332444,6.540098919398643
2018,TE,8,0.75,5,83.49829858602781,90.29300159052315,7.5251712589079345
2019,TE,8,1.0,6,82.98990235366526,90.6245850747624,8.424516056872168
2020,TE,8,0.75,7,82.96912910555737,89.97293662072335,7.784349136774532
2021,TE,8,0.75,8,81.92527494868601,88.26283571490451,7.180327614545823
2022,TE,8,0.75,9,80.66064267785688,86.61117514782768,6.8703980286775295
2023,TE,8,0.75,10,79.3125531096275,85.36497770901299,7.090055854072417
2024,TE,8,0.75,11,80.2065046570805,86.12381341267246,6.870699892535499
2025,TE,8,0.75,12,79.80027195931903,85.58829893842945,6.762638177064608
2014,TE,12,0.0,1,41.657773951195,41.657773951195,0.0
2015,TE,12,0.25,2,43.22670727316611,43.34372087625398,0.26996667734628155
2016,TE,12,0.25,3,45.5067895052309,45.73773477235015,0.5049337669841633
2017,TE,12,0.25,4,49.137170764290964,49.454024073542996,0.6407027844303226
2018,TE,12,0.5,5,51.086455723684104,51.536327640909924,0.8729219519877253
2019,TE,12,0.5,6,50.86020708419883,51.40752193503218,1.064659081457064
2020,TE,12,0.5,7,51.37072868935041,51.777731710787755,0.7860580369003485
2021,TE,12,0.5,8,50.991067943929366,51.47035254186017,0.9311857686247844
2022,TE,12,0.25,9,50.39670551692719,50.688096946221954,0.5748715119526326
2023,TE,12,0.25,10,50.144565143992224,50.41722968950241,0.540816199520303
2024,TE,12,0.5,11,50.778737980013155,51.21662960932873,0.8549793937159307
