position,checkpoint,meanSelectedHistoryWeight,modeSelectedHistoryWeight,historyRecommendation,environmentRecommendation,topEnvironmentSelectionPct,hybridImprovementPctVsPace,hybridImprovementPctVsFullHistory,hybridImprovementPctVsShrinkage
QB,4,0.8958333333333334,1.0,strong-history,none,8.333333333333334,14.917162465280207,-0.7993727165978268,0.043618042097791875
QB,8,0.625,0.75,blended-history,none,0.0,5.428219020366017,-0.72044373747462,0.0
QB,12,0.020833333333333332,0.0,current-season-dominant,none,8.333333333333334,-0.059528728877021514,3.7855792041731458,-0.059528728877021514
RB,4,0.7708333333333334,0.75,strong-history,none,33.333333333333336,5.905363804017932,-1.4912605065703857,-0.6726746299324106
RB,8,0.25,0.25,light-history,none,0.0,0.45694738317024763,2.8276738606157026,0.0
RB,12,0.0,0.0,current-season-dominant,none,0.0,0.0,3.810973524676824,0.0
TE,4,0.9166666666666666,1.0,strong-history,none,8.333333333333334,8.282260926323037,-2.5154161168009987,-0.7180452884701127
TE,8,0.7291666666666666,0.75,strong-history,none,8.333333333333334,5.8192102018376906,-0.5176538019224904,-0.38113830197744697
TE,12,0.3333333333333333,0.25,light-history,none,0.0,0.23053852956598636,0.8204150506785473,0.0
WR,4,0.875,1.0,strong-history,none,0.0,10.625510557270696,-0.5031245079438825,0.0
WR,8,0.625,0.75,blended-history,none,0.0,3.2830824168807116,-0.5797489446577494,0.0
WR,12,0.14583333333333334,0.25,light-history,none,0.0,0.3028469681494765,1.437313883966164,0.0
