season,position,checkpoint,historyOnlyWeight,selectedHistoryWeight,selectedEnvironmentGroup,historyValidationMae,selectedValidationMae,validationBlocks
2014,QB,4,0.0,0.0,,,,0
2015,QB,4,1.0,1.0,05_coach_scheme_isolated,397.17391147635357,389.380477952854,2
2016,QB,4,0.75,0.75,,409.5065432743519,409.5065432743519,3
2017,QB,4,1.0,1.0,,406.6537036496217,406.6537036496217,4
2018,QB,4,1.0,1.0,,397.2217878839646,397.2217878839646,5
2019,QB,4,1.0,1.0,,402.0691923025231,402.0691923025231,6
2020,QB,4,1.0,1.0,,415.8216682660594,415.8216682660594,7
2021,QB,4,1.0,1.0,,401.6802606060046,401.6802606060046,8
2022,QB,4,1.0,1.0,,403.6958039704416,403.6958039704416,9
2023,QB,4,1.0,1.0,,396.8809691397096,396.8809691397096,10
2024,QB,4,1.0,1.0,,398.54298468352346,398.54298468352346,11
2025,QB,4,1.0,1.0,,404.0952974770873,404.0952974770873,12
2014,QB,8,0.0,0.0,,,,0
2015,QB,8,0.5,0.5,,335.58881447389376,335.58881447389376,2
2016,QB,8,0.75,0.75,,347.1031969128828,347.1031969128828,3
2017,QB,8,0.5,0.5,,344.5066436950141,344.5066436950141,4
2018,QB,8,0.5,0.5,,337.86289279381003,337.86289279381003,5
2019,QB,8,0.75,0.75,,334.1467567008015,334.1467567008015,6
2020,QB,8,0.75,0.75,,347.7360331695173,347.7360331695173,7
2021,QB,8,0.75,0.75,,349.40779728751767,349.40779728751767,8
2022,QB,8,0.75,0.75,,345.65565424205556,345.65565424205556,9
2023,QB,8,0.75,0.75,,341.72508317760844,341.72508317760844,10
2024,QB,8,0.75,0.75,,338.51497115446625,338.51497115446625,11
2025,QB,8,0.75,0.75,,338.6968163368633,338.6968163368633,12
2014,QB,12,0.0,0.0,,,,0
2015,QB,12,0.0,0.0,,195.01025954286266,195.01025954286266,2
2016,QB,12,0.0,0.0,,209.37478818745942,209.37478818745942,3
2017,QB,12,0.0,0.0,,214.5463239379255,214.5463239379255,4
2018,QB,12,0.0,0.0,,209.6723020122602,209.6723020122602,5
2019,QB,12,0.0,0.0,,222.0411133738057,222.0411133738057,6
2020,QB,12,0.0,0.0,,223.15608004764724,223.15608004764724,7
2021,QB,12,0.0,0.0,,221.60236805079737,221.60236805079737,8
2022,QB,12,0.0,0.0,,227.61619390856632,227.61619390856632,9
2023,QB,12,0.0,0.25,05_coach_scheme_isolated,225.83918342814786,224.3830959460041,10
2024,QB,12,0.0,0.0,,226.56776464887312,226.56776464887312,11
2025,QB,12,0.0,0.0,,230.81416701963175,230.81416701963175,12
2014,RB,4,0.0,0.0,,,,0
2015,RB,4,1.0,1.0,,220.26468625244252,220.26468625244252,2
2016,RB,4,0.75,0.75,,217.72688009419588,217.72688009419588,3
2017,RB,4,0.5,0.5,,221.12311737724897,221.12311737724897,4
2018,RB,4,0.75,1.0,02_role_isolated,225.06375568267086,222.90298752568856,5
2019,RB,4,0.75,1.0,02_role_isolated,220.03308847873205,218.61797558357125,6
2020,RB,4,0.75,1.0,02_role_isolated,217.12885420727866,215.5452531415812,7
2021,RB,4,0.75,0.75,,214.8396641070274,214.8396641070274,8
2022,RB,4,0.75,0.75,,212.03950367100353,212.03950367100353,9
2023,RB,4,0.75,1.0,02_role_isolated,215.085155407737,213.09869277891994,10
2024,RB,4,0.75,0.75,,211.847555695852,211.847555695852,11
2025,RB,4,0.75,0.75,,212.97794759737187,212.97794759737187,12
2014,RB,8,0.0,0.0,,,,0
2015,RB,8,0.5,0.5,,147.30247271416656,147.30247271416656,2
2016,RB,8,0.25,0.25,,141.44296347006656,141.44296347006656,3
2017,RB,8,0.25,0.25,,137.5672149669378,137.5672149669378,4
2018,RB,8,0.25,0.25,,141.17148214805528,141.17148214805528,5
2019,RB,8,0.25,0.25,,142.49289362711107,142.49289362711107,6
2020,RB,8,0.25,0.25,,143.17186449535734,143.17186449535734,7
2021,RB,8,0.25,0.25,,142.75721766001,142.75721766001,8
2022,RB,8,0.25,0.25,,143.72507047437153,143.72507047437153,9
2023,RB,8,0.25,0.25,,144.34721137156262,144.34721137156262,10
2024,RB,8,0.25,0.25,,144.47761776809983,144.47761776809983,11
2025,RB,8,0.25,0.25,,143.90297197934004,143.90297197934004,12
2014,RB,12,0.0,0.0,,,,0
2015,RB,12,0.0,0.0,,92.02572946964538,92.02572946964538,2
2016,RB,12,0.0,0.0,,87.5725990303229,87.5725990303229,3
2017,RB,12,0.0,0.0,,86.4784297792687,86.4784297792687,4
2018,RB,12,0.0,0.0,,86.55070225668051,86.55070225668051,5
2019,RB,12,0.0,0.0,,87.32130933423437,87.32130933423437,6
2020,RB,12,0.0,0.0,,89.51056706441706,89.51056706441706,7
2021,RB,12,0.0,0.0,,89.54132693164014,89.54132693164014,8
2022,RB,12,0.0,0.0,,89.62833762529952,89.62833762529952,9
2023,RB,12,0.0,0.0,,88.97157367676171,88.97157367676171,10
2024,RB,12,0.0,0.0,,89.24053406626192,89.24053406626192,11
2025,RB,12,0.0,0.0,,89.09420932936499,89.09420932936499,12
2014,TE,4,0.0,0.0,,,,0
2015,TE,4,1.0,1.0,,149.6316571842442,149.6316571842442,2
2016,TE,4,1.0,1.0,06_trade_team_change_isolated,145.13692965451008,143.36548412871437,3
2017,TE,4,1.0,1.0,,135.85399571492238,135.85399571492238,4
2018,TE,4,1.0,1.0,,128.74408415234814,128.74408415234814,5
2019,TE,4,1.0,1.0,,130.03483820500284,130.03483820500284,6
2020,TE,4,1.0,1.0,,128.08668532192016,128.08668532192016,7
2021,TE,4,1.0,1.0,,127.56401169329556,127.56401169329556,8
2022,TE,4,1.0,1.0,,124.24872590463453,124.24872590463453,9
2023,TE,4,1.0,1.0,,123.12040857558202,123.12040857558202,10
2024,TE,4,1.0,1.0,,124.39208407805387,124.39208407805387,11
2025,TE,4,1.0,1.0,,126.33043624976473,126.33043624976473,12
2014,TE,8,0.0,0.0,,,,0
2015,TE,8,0.75,0.75,,84.9187573026582,84.9187573026582,2
2016,TE,8,0.75,0.75,,86.2858389252377,86.2858389252377,3
2017,TE,8,0.75,0.75,,86.60419420909014,86.60419420909014,4
2018,TE,8,0.75,1.0,02_role_isolated,83.49829858602783,82.72576893293936,5
2019,TE,8,1.0,1.0,,82.98990235366526,82.98990235366526,6
2020,TE,8,0.75,0.75,,82.96912910555739,82.96912910555739,7
2021,TE,8,0.75,0.75,,81.92527494868602,81.92527494868602,8
2022,TE,8,0.75,0.75,,80.6606426778569,80.6606426778569,9
2023,TE,8,0.75,0.75,,79.31255310962753,79.31255310962753,10
2024,TE,8,0.75,0.75,,80.20650465708052,80.20650465708052,11
2025,TE,8,0.75,0.75,,79.80027195931906,79.80027195931906,12
2014,TE,12,0.0,0.0,,,,0
2015,TE,12,0.25,0.25,,43.22670727316612,43.22670727316612,2
2016,TE,12,0.25,0.25,,45.5067895052309,45.5067895052309,3
2017,TE,12,0.25,0.25,,49.137170764290964,49.137170764290964,4
2018,TE,12,0.5,0.5,,51.086455723684104,51.086455723684104,5
2019,TE,12,0.5,0.5,,50.86020708419882,50.86020708419882,6
2020,TE,12,0.5,0.5,,51.3707286893504,51.3707286893504,7
2021,TE,12,0.5,0.5,,50.99106794392936,50.99106794392936,8
2022,TE,12,0.25,0.25,,50.39670551692719,50.39670551692719,9
2023,TE,12,0.25,0.25,,50.144565143992224,50.144565143992224,10
2024,TE,12,0.5,0.5,,50.77873798001315,50.77873798001315,11
2025,TE,12,0.25,0.25,,50.812100327755665,50.812100327755665,12
2014,WR,4,0.0,0.0,,,,0
2015,WR,4,0.75,0.75,,178.45369077390748,178.45369077390748,2
2016,WR,4,0.75,0.75,,173.08591507243995,173.08591507243995,3
2017,WR,4,1.0,1.0,,172.69001886387184,172.69001886387184,4
2018,WR,4,1.0,1.0,,169.8001907538145,169.8001907538145,5
