position,checkpoint,stage,researchCandidate,promotionEligible,maeImprovementPctVsProductionBase,seasonBlockWinPctVsProductionBase,recent4SeasonImprovementPctVsProductionBase,reason
QB,4,02_role_isolated,False,True,-3.6169085112764168,33.33333333333333,0.13464863099916768,Keep research-only; isolated held-out gate not cleared.
QB,4,03_health_rate_diagnostic,False,False,-1.4049372929632493,33.33333333333333,-1.3099063723716964,Diagnostic only for rate target; move to availability/games-played research.
QB,4,05_coach_scheme_isolated,False,True,-2.084782855840992,50.0,-0.33346536782648195,Keep research-only; isolated held-out gate not cleared.
QB,4,06_trade_team_change_isolated,False,True,-1.2897892275292666,50.0,0.4573648282769717,Keep research-only; isolated held-out gate not cleared.
QB,4,07_opportunity_competition_isolated,False,True,-3.6262996395128893,33.33333333333333,-3.2493614223444958,Keep research-only; isolated held-out gate not cleared.
QB,8,02_role_isolated,False,True,-3.705289007402179,33.33333333333333,-2.5597390451314173,Keep research-only; isolated held-out gate not cleared.
QB,8,03_health_rate_diagnostic,False,False,-4.5536546422280395,8.333333333333332,-6.089227432540045,Diagnostic only for rate target; move to availability/games-played research.
QB,8,05_coach_scheme_isolated,False,True,-1.8569637049768157,25.0,-0.7653383610806921,Keep research-only; isolated held-out gate not cleared.
QB,8,06_trade_team_change_isolated,False,True,-3.5028503545883,41.66666666666667,-2.578224708903468,Keep research-only; isolated held-out gate not cleared.
QB,8,07_opportunity_competition_isolated,False,True,-1.9111567343889355,25.0,-1.0088088261130355,Keep research-only; isolated held-out gate not cleared.
QB,12,02_role_isolated,False,True,1.586802657509665,66.66666666666666,-0.15973863352038437,Keep research-only; isolated held-out gate not cleared.
QB,12,03_health_rate_diagnostic,False,False,2.0180558551899095,58.333333333333336,0.4034826213482739,Diagnostic only for rate target; move to availability/games-played research.
QB,12,05_coach_scheme_isolated,False,True,1.5212792439605691,75.0,-0.007480578013402143,Keep research-only; isolated held-out gate not cleared.
QB,12,06_trade_team_change_isolated,False,True,-0.29659497539143825,58.333333333333336,-0.7650389526774934,Keep research-only; isolated held-out gate not cleared.
QB,12,07_opportunity_competition_isolated,True,True,1.953883765349376,66.66666666666666,0.4633098836117357,Independent environment signal clears v1.9b held-out gate.
RB,4,02_role_isolated,False,True,0.3333970182323041,58.333333333333336,-0.5261985128217085,Keep research-only; isolated held-out gate not cleared.
RB,4,03_health_rate_diagnostic,False,False,-1.8797195774887745,16.666666666666664,-1.1774022092568215,Diagnostic only for rate target; move to availability/games-played research.
RB,4,04_qb_environment_isolated,False,True,-1.1127661970590064,25.0,-0.8259647815155859,Keep research-only; isolated held-out gate not cleared.
RB,4,05_coach_scheme_isolated,False,True,-2.4108888790518748,41.66666666666667,-4.858895651647315,Keep research-only; isolated held-out gate not cleared.
RB,4,06_trade_team_change_isolated,False,True,-0.7240425259830277,25.0,-1.4341005133477809,Keep research-only; isolated held-out gate not cleared.
RB,4,07_opportunity_competition_isolated,False,True,-1.4416816488391517,41.66666666666667,-2.4916811902006257,Keep research-only; isolated held-out gate not cleared.
RB,8,02_role_isolated,True,True,1.0229359749407572,83.33333333333334,1.1749106412989223,Independent environment signal clears v1.9b held-out gate.
RB,8,03_health_rate_diagnostic,False,False,-0.3344078613570189,66.66666666666666,0.053312651824153894,Diagnostic only for rate target; move to availability/games-played research.
RB,8,04_qb_environment_isolated,False,True,0.32310711219416655,58.333333333333336,0.35163311830948374,Keep research-only; isolated held-out gate not cleared.
RB,8,05_coach_scheme_isolated,True,True,0.7351808423759482,58.333333333333336,0.6819053886731589,Independent environment signal clears v1.9b held-out gate.
RB,8,06_trade_team_change_isolated,True,True,1.5180565475000616,75.0,1.7296382360679607,Independent environment signal clears v1.9b held-out gate.
RB,8,07_opportunity_competition_isolated,False,True,-1.0724139586999324,33.33333333333333,-0.6529007040894216,Keep research-only; isolated held-out gate not cleared.
RB,12,02_role_isolated,False,True,-0.266018324453928,41.66666666666667,-0.5576364831086248,Keep research-only; isolated held-out gate not cleared.
RB,12,03_health_rate_diagnostic,False,False,-2.256056900828597,33.33333333333333,-0.6549715071071709,Diagnostic only for rate target; move to availability/games-played research.
RB,12,04_qb_environment_isolated,False,True,-1.3177046036925066,33.33333333333333,-1.7236778824411354,Keep research-only; isolated held-out gate not cleared.
RB,12,05_coach_scheme_isolated,False,True,-2.006654596073289,16.666666666666664,-1.92422863760422,Keep research-only; isolated held-out gate not cleared.
RB,12,06_trade_team_change_isolated,False,True,-1.1472783054257436,25.0,-1.3191907096217965,Keep research-only; isolated held-out gate not cleared.
RB,12,07_opportunity_competition_isolated,False,True,-1.157269825177411,41.66666666666667,-2.3863832810182704,Keep research-only; isolated held-out gate not cleared.
TE,4,02_role_isolated,False,True,-0.49261557737044326,58.333333333333336,0.9462681014724434,Keep research-only; isolated held-out gate not cleared.
TE,4,03_health_rate_diagnostic,False,False,-1.373581352311674,41.66666666666667,-0.8125060033817744,Diagnostic only for rate target; move to availability/games-played research.
TE,4,04_qb_environment_isolated,False,True,-3.894388271447123,16.666666666666664,-2.0053994741055403,Keep research-only; isolated held-out gate not cleared.
TE,4,05_coach_scheme_isolated,False,True,-1.1661094041938989,41.66666666666667,0.6353236286683231,Keep research-only; isolated held-out gate not cleared.
TE,4,06_trade_team_change_isolated,False,True,-0.8718147335134486,41.66666666666667,-0.7324235911615834,Keep research-only; isolated held-out gate not cleared.
TE,4,07_opportunity_competition_isolated,False,True,0.06614805390947019,66.66666666666666,1.4850775843952246,Keep research-only; isolated held-out gate not cleared.
TE,8,02_role_isolated,False,True,-0.8596049161999162,33.33333333333333,-1.099567584359566,Keep research-only; isolated held-out gate not cleared.
TE,8,03_health_rate_diagnostic,False,False,-3.06086742517308,25.0,-2.6332896140389486,Diagnostic only for rate target; move to availability/games-played research.
TE,8,04_qb_environment_isolated,False,True,-3.130997539922403,33.33333333333333,-1.2893469650616602,Keep research-only; isolated held-out gate not cleared.
TE,8,05_coach_scheme_isolated,False,True,-2.1060108119061733,33.33333333333333,-2.6210284996505284,Keep research-only; isolated held-out gate not cleared.
TE,8,06_trade_team_change_isolated,False,True,-1.7872956615600168,50.0,-1.0134671664020174,Keep research-only; isolated held-out gate not cleared.
TE,8,07_opportunity_competition_isolated,False,True,-0.6801300341791632,50.0,-1.7177482865284348,Keep research-only; isolated held-out gate not cleared.
TE,12,02_role_isolated,False,True,-1.4024639001277766,33.33333333333333,0.19715004177787396,Keep research-only; isolated held-out gate not cleared.
TE,12,03_health_rate_diagnostic,False,False,-0.7719222791983503,33.33333333333333,0.6784668441915758,Diagnostic only for rate target; move to availability/games-played research.
TE,12,04_qb_environment_isolated,False,True,-0.23883894916980664,50.0,2.247308833216965,Keep research-only; isolated held-out gate not cleared.
TE,12,05_coach_scheme_isolated,False,True,-0.9043915108567407,58.333333333333336,0.19867534274104698,Keep research-only; isolated held-out gate not cleared.
TE,12,06_trade_team_change_isolated,False,True,-0.9019806053795242,33.33333333333333,1.4216036705624624,Keep research-only; isolated held-out gate not cleared.
TE,12,07_opportunity_competition_isolated,False,True,-1.0610425473817293,33.33333333333333,-0.0841531961878478,Keep research-only; isolated held-out gate not cleared.
WR,4,02_role_isolated,False,True,-2.7332550279493386,16.666666666666664,-1.6382562745758313,Keep research-only; isolated held-out gate not cleared.
WR,4,03_health_rate_diagnostic,False,False,-1.854556150758944,41.66666666666667,-2.5729295289119554,Diagnostic only for rate target; move to availability/games-played research.
WR,4,04_qb_environment_isolated,False,True,-1.8445453529354447,41.66666666666667,-0.9039284336399711,Keep research-only; isolated held-out gate not cleared.
WR,4,05_coach_scheme_isolated,False,True,-2.241973661802076,25.0,-1.1846911639803748,Keep research-only; isolated held-out gate not cleared.
WR,4,06_trade_team_change_isolated,False,True,-1.25227926719799,33.33333333333333,-0.8284261523183348,Keep research-only; isolated held-out gate not cleared.
WR,4,07_opportunity_competition_isolated,False,True,-0.33553099046983625,41.66666666666667,-0.3317403336192227,Keep research-only; isolated held-out gate not cleared.
WR,8,02_role_isolated,False,True,-0.9041572635873285,25.0,-0.16581402141319965,Keep research-only; isolated held-out gate not cleared.
WR,8,03_health_rate_diagnostic,False,False,-0.5978516221026423,41.66666666666667,-0.17711182543091586,Diagnostic only for rate target; move to availability/games-played research.
WR,8,04_qb_environment_isolated,False,True,-0.5486021995281404,41.66666666666667,0.6475501093454719,Keep research-only; isolated held-out gate not cleared.
WR,8,05_coach_scheme_isolated,False,True,-0.9068047775251986,25.0,0.488880556946804,Keep research-only; isolated held-out gate not cleared.
WR,8,06_trade_team_change_isolated,False,True,-0.04132494289867749,58.333333333333336,0.6871034796011395,Keep research-only; isolated held-out gate not cleared.
WR,8,07_opportunity_competition_isolated,False,True,-1.1581500986164939,33.33333333333333,-2.168998652422736,Keep research-only; isolated held-out gate not cleared.
WR,12,02_role_isolated,False,True,-0.8284031575629801,33.33333333333333,-1.8858559723925106,Keep research-only; isolated held-out gate not cleared.
WR,12,03_health_rate_diagnostic,False,False,-0.9852659448550963,41.66666666666667,-0.3860495929371578,Diagnostic only for rate target; move to availability/games-played research.
WR,12,04_qb_environment_isolated,False,True,-0.6999030908464832,33.33333333333333,0.0014256259984995366,Keep research-only; isolated held-out gate not cleared.
WR,12,05_coach_scheme_isolated,False,True,-1.4005137904178064,25.0,-2.547116964453557,Keep research-only; isolated held-out gate not cleared.
WR,12,06_trade_team_change_isolated,False,True,-0.23997838308091526,50.0,0.0916789359287298,Keep research-only; isolated held-out gate not cleared.
WR,12,07_opportunity_competition_isolated,False,True,-0.9694932714189902,25.0,-1.3281293079415504,Keep research-only; isolated held-out gate not cleared.
