position,checkpoint,rows,mae,maeImprovementPctVsPace,historyUseRecommendation
QB,4,425,400.27259347856335,15.591897804826434,strong-history
QB,8,512,338.288284201323,6.104681958974461,strong-history
QB,12,581,251.15658155504846,-3.9963946165718047,current-season-dominant
RB,4,880,210.6207417328988,7.287942108187208,strong-history
RB,8,1129,147.41870517790227,-2.439713621803061,current-season-dominant
RB,12,1274,92.31732974982476,-3.9619628811343786,current-season-dominant
TE,4,634,124.89107090395254,10.532734931126551,strong-history
TE,8,872,80.66725913607058,6.304229917908194,strong-history
TE,12,989,52.41764444206465,-0.5947559887591529,near-neutral
WR,4,1422,161.99075650575847,11.072924468467603,strong-history
WR,8,1765,115.4399005560454,3.8405657222945706,reduced-history
WR,12,1940,73.55631955755739,-1.1510105502615118,current-season-dominant
