position,checkpoint,rows,workerMae,alwaysV19Mae,shadowRouterMae,shadowImprovementPctVsWorker,shadowImprovementPctVsAlwaysV19,workerGamesMae,alwaysV19GamesMae,shadowRouterGamesMae,shadowGamesImprovementPctVsWorker,seasonBlocks,shadowBlockWinPctVsWorker,shadowRecent4ImprovementPctVsWorker
QB,4,425,745.9322436067393,746.9901475684837,745.9322436067393,0.0,0.14162221084012339,2.599019607843137,2.5351658751253714,2.599019607843137,0.0,12,100.0,0.0
QB,8,512,568.7614915450282,569.4384455997241,568.7614915450282,0.0,0.11888098879290454,2.0127650669642856,2.0530537571806957,2.0127650669642856,0.0,12,100.0,0.0
QB,12,581,356.841386243203,364.9488415553268,356.841386243203,0.0,2.2215320036561113,1.2719840400563291,1.3579511610058668,1.2719840400563291,0.0,12,100.0,0.0
RB,4,880,267.2899045426081,247.3443265474311,264.07547884991806,1.202598990108,-6.76431618061737,2.5970643939393936,2.5540735072937473,2.625525979953999,-1.0959137586662993,12,91.66666666666666,3.585883442523516
RB,8,1129,169.01803389011855,169.03158038316369,169.01803389011855,0.0,0.00801417877915661,1.8730387194736176,1.9789563392998994,1.8730387194736176,0.0,12,100.0,0.0
RB,12,1274,102.8340000855649,103.40156772898878,102.8340000855649,0.0,0.548896555332175,1.233058608058608,1.3170604726015478,1.233058608058608,0.0,12,100.0,0.0
TE,4,634,138.97861274846701,137.17268012811496,140.09064160209866,-0.800143872240449,-2.127217658252657,2.5849106203995795,2.370933773923513,2.5318684902265782,2.0519908794680863,12,91.66666666666666,-2.6068791917930816
TE,8,872,86.54387596133006,84.71852703177137,85.4336283092839,1.2828725773066152,-0.8440907822256538,1.8879628112712976,1.9405174974087505,1.8605336442849625,1.4528446652964075,12,100.0,3.756100607039112
TE,12,989,54.74155976778127,55.61316047060336,54.74155976778127,0.0,1.5672561952000796,1.2817737537151086,1.3651737806214197,1.2817737537151086,0.0,12,100.0,0.0
WR,4,1422,192.22372309967483,177.37826220136128,178.77679942127776,6.995454807325921,-0.7884490481301739,2.444503047351149,2.384088998904997,2.3486535075313406,3.9210235357926977,12,100.0,11.525174955486532
WR,8,1765,130.6008603789136,124.50562546302295,124.98611892476866,4.29916115242644,-0.3859210858616276,1.8903986240388508,1.943262853566237,1.9213818617427414,-1.6389790655737273,12,100.0,6.541113967161471
WR,12,1940,77.89579848573428,77.85490662486346,77.89579848573428,0.0,-0.052523164747789695,1.2150499843798814,1.266056411842701,1.2150499843798814,0.0,12,100.0,0.0
