season,position,checkpoint,selectedRoute,validationBlocks,validationWorkerMae,validationChallengerMae,validationImprovementPct,validationWinPct,validationRecent4ImprovementPct,reason
2014,QB,4,worker,0,,,,,,insufficient-prior-blocks
2015,QB,4,worker,1,,,,,,insufficient-prior-blocks
2016,QB,4,worker,2,,,,,,insufficient-prior-blocks
2017,QB,4,worker,3,620.4050952073452,710.2972035497434,-14.489260168367151,33.33333333333333,-14.489260168367151,prior-validation-hold
2018,QB,4,worker,4,646.0638353564017,718.3564043607932,-11.189694430816006,25.0,-11.189694430816006,prior-validation-hold
2019,QB,4,worker,5,675.3192721414501,746.2310384082973,-10.500480171694882,20.0,-6.768948740911719,prior-validation-hold
2020,QB,4,worker,6,696.1671108764259,766.1010107906126,-10.045562167702057,16.666666666666664,-4.416277201719377,prior-validation-hold
2021,QB,4,worker,7,712.4869952081938,763.2651667815331,-7.126891005007274,28.57142857142857,-2.743620029430208,prior-validation-hold
2022,QB,4,worker,8,700.0564113915852,745.929069739118,-6.552708839041439,25.0,-2.579772404052616,prior-validation-hold
2023,QB,4,worker,9,710.081713266254,742.0907146424064,-4.507791255307286,33.33333333333333,2.2055325800986267,prior-validation-hold
2024,QB,4,worker,10,736.0473678978357,749.3713951361876,-1.8102132851049542,40.0,8.995311277139326,prior-validation-hold
2025,QB,4,worker,11,755.8887529654374,757.2608959810685,-0.1815271109998672,45.45454545454545,10.228916602870626,prior-validation-hold
2014,QB,8,worker,0,,,,,,insufficient-prior-blocks
2015,QB,8,worker,1,,,,,,insufficient-prior-blocks
2016,QB,8,worker,2,,,,,,insufficient-prior-blocks
2017,QB,8,worker,3,507.67490864882217,569.8207061772483,-12.241258425362664,0.0,-12.241258425362664,prior-validation-hold
2018,QB,8,worker,4,521.384933638392,566.6708811679143,-8.685703135589746,25.0,-8.685703135589746,prior-validation-hold
2019,QB,8,worker,5,515.7782221776215,556.7630409093401,-7.946209624493307,20.0,-5.0507761472079356,prior-validation-hold
2020,QB,8,worker,6,527.266105893657,570.0859547316198,-8.121107797245559,16.666666666666664,-3.703752334293877,prior-validation-hold
2021,QB,8,worker,7,538.1746959627745,571.8083703444138,-6.249583013461802,28.57142857142857,-2.183333418132033,prior-validation-hold
2022,QB,8,worker,8,535.352813841655,568.3639020858659,-6.166230454142119,25.0,-3.7748858150979725,prior-validation-hold
2023,QB,8,worker,9,541.3386289485967,563.5850202776144,-4.109514846968386,33.33333333333333,0.20524423847788817,prior-validation-hold
2024,QB,8,worker,10,551.1980480689622,566.9718973611639,-2.8617389606989656,40.0,4.223355577202087,prior-validation-hold
