position,checkpoint,rows,paceMae,productionMae,nestedMae,nestedImprovementPctVsPace,nestedImprovementPctVsProduction,productionImprovementPctVsPace
QB,4,425,474.21110422910425,400.27259347856335,404.0286952129607,14.799824042550576,-0.9383859388810541,15.591897804826434
QB,8,512,360.2823775020552,338.288284201323,338.288284201323,6.104681958974461,0.0,6.104681958974461
QB,12,581,241.50508532632026,251.15658155504846,241.50508532632026,0.0,3.842820350942224,-3.9963946165718047
RB,4,880,227.17729119838498,210.6207417328988,210.82533516022974,7.197883182732255,-0.09713830919387408,7.287942108187208
RB,8,1129,143.90776776490907,147.41870517790227,144.45929570909686,-0.3832509896816583,2.007485729327253,-2.439713621803061
RB,12,1274,88.79914075437034,92.31732974982476,88.79914075437034,0.0,3.810973524676824,-3.9619628811343786
TE,4,634,139.59415302100632,124.89107090395254,125.80384880464351,9.878855179763603,-0.7308592152219919,10.532734931126551
TE,8,872,86.09487820570101,80.66725913607058,81.10967222569916,5.790363008692592,-0.548441950757624,6.304229917908194
TE,12,989,52.107730593751825,52.41764444206465,52.267242807959086,-0.30612005625589084,0.28692940269720957,-0.5947559887591529
WR,4,1422,182.16134460456718,161.99075650575847,162.15627165102865,10.982062630776694,-0.1021756727608674,11.072924468467603
WR,8,1765,120.0505196636854,115.4399005560454,115.4399005560454,3.8405657222945706,0.0,3.8405657222945706
WR,12,1940,72.71931259748271,73.55631955755739,72.71931259748271,0.0,1.1379130509917934,-1.1510105502615118
