season,checkpoint,position,baseMode,selectedGroups,selectedGroupCount,baseValidationBlocks,baseValidationImprovementPctVsPace,baseValidationWinPctVsPace,baseValidationRecentImprovementPctVsPace
2014,4,QB,production,,0,1,27.1739991423495,100.0,27.1739991423495
2015,4,QB,production,05_coach_scheme_isolated,1,2,18.141992400605506,100.0,18.57960922831852
2016,4,QB,production,05_coach_scheme_isolated,1,3,9.353595586421946,66.66666666666666,9.969892563210529
2017,4,QB,production,,0,4,11.377968852974702,75.0,11.86641850020434
2018,4,QB,production,,0,5,12.644815951672218,80.0,8.325269983766118
2019,4,QB,production,,0,6,14.015128123991044,83.33333333333334,12.159117793879723
2020,4,QB,production,,0,7,13.703125460428252,85.71428571428571,16.807211882934677
2021,4,QB,production,,0,8,15.573800804749203,87.5,19.570200429966256
2022,4,QB,production,,0,9,18.005354725596476,88.88888888888889,23.669292454354903
2023,4,QB,production,,0,10,18.282994822508844,90.0,24.2034647142916
2024,4,QB,production,,0,11,17.583937570681925,90.9090909090909,24.234668919820457
2025,4,QB,production,,0,12,16.66172907834272,91.66666666666666,18.687791995665318
2014,8,QB,production,,0,1,0.8709984932901056,100.0,0.8709984932901056
2015,8,QB,production,,0,2,1.7577510147353588,100.0,1.7454813898136312
2016,8,QB,production,,0,3,3.951204863360725,100.0,3.92397299937968
2017,8,QB,production,,0,4,1.6988048203516477,75.0,1.6110752015506884
2018,8,QB,production,,0,5,1.4855365618347023,80.0,1.5782528293094902
2019,8,QB,production,,0,6,3.052878132403328,83.33333333333334,3.70595070578702
2020,8,QB,production,,0,7,2.60344777123903,85.71428571428571,1.5821110787218886
2021,8,QB,production,,0,8,2.8843294364152805,87.5,4.132165902165192
2022,8,QB,production,,0,9,5.652582439874642,88.88888888888889,10.930500206282286
2023,8,QB,production,,0,10,5.906664843406383,90.0,10.300211324981557
2024,8,QB,production,,0,11,5.255353204619945,81.81818181818183,10.503131372064924
2025,8,QB,production,,0,12,5.54113883282609,83.33333333333334,11.466675941340368
2014,12,QB,pace,,0,1,-10.8955018940681,0.0,-10.8955018940681
2015,12,QB,pace,,0,2,-7.586264330889795,0.0,-7.554015180349384
2016,12,QB,pace,,0,3,-8.687985952773314,0.0,-8.660511296901664
2017,12,QB,pace,,0,4,-7.135597213056738,0.0,-7.04964634383629
2018,12,QB,pace,,0,5,-7.640752065682543,0.0,-6.879726247038101
2019,12,QB,pace,,0,6,-5.5953391218944155,16.666666666666664,-4.67844880005963
