position,checkpoint,baseMode,selectedGroups,outerSeasons
QB,4,production,,10
QB,4,production,05_coach_scheme_isolated,2
QB,8,production,,12
QB,12,pace,,12
RB,4,production,,6
RB,4,production,02_role_isolated,6
RB,8,pace,,11
RB,8,production,,1
RB,12,pace,,12
TE,4,production,,11
TE,4,production,06_trade_team_change_isolated,1
TE,8,production,,11
TE,8,production,02_role_isolated,1
TE,12,pace,,11
TE,12,production,,1
WR,4,production,,11
WR,4,production,07_opportunity_competition_isolated,1
WR,8,production,,12
WR,12,pace,,12
