career_state,model,model_label,rows,rate_mae,rate_rmse,rate_bias,rate_median_ae,rate_mae_improvement_vs_generic_pct,total_mae,total_rmse,total_bias,total_median_ae,total_mae_improvement_vs_generic_pct
ASCENDING,generic_role,Current generic role model,428,19.177932,26.490515,5.170685,14.712821,0.000000,332.285537,460.323881,97.810222,258.459886,0.000000
ASCENDING,identity_raw,Own-history rate,428,14.631285,21.040304,-2.110460,10.913804,23.707703,277.966898,415.998099,-1.958285,201.983548,16.346976
ASCENDING,identity_shrunk,Own history + cohort shrinkage,428,14.419281,20.892044,-1.420577,11.066188,24.813160,277.402826,411.119119,6.416438,206.466793,16.516732
ASCENDING,identity_state,Career-state adjusted identity,428,14.547359,20.928699,1.582313,11.663851,24.145316,279.621595,415.992071,49.651774,208.867252,15.849002
ASCENDING,identity_guardrail,Identity + established-star evidence floor,428,14.547359,20.928699,1.582313,11.663851,24.145316,279.621595,415.992071,49.651774,208.867252,15.849002
ASCENDING,identity_contract,Identity + conditional contract context,428,14.547359,20.928699,1.582313,11.663851,24.145316,279.621595,415.992071,49.651774,208.867252,15.849002
DECLINING,generic_role,Current generic role model,243,20.520270,32.839604,2.567962,13.662500,0.000000,340.054925,555.069078,79.161113,208.779085,0.000000
DECLINING,identity_raw,Own-history rate,243,14.693823,22.451585,5.423770,9.298238,28.393618,282.603683,483.134367,97.457474,167.536209,16.894695
DECLINING,identity_shrunk,Own history + cohort shrinkage,243,14.477840,21.776346,4.666489,9.142197,29.446151,283.552295,481.869510,89.972385,173.688478,16.615736
DECLINING,identity_state,Career-state adjusted identity,243,13.798138,21.317276,1.207630,9.795158,32.758499,267.610249,463.820649,43.907015,154.961996,21.303816
DECLINING,identity_guardrail,Identity + established-star evidence floor,243,13.799500,21.314914,1.225921,9.774452,32.751858,267.475227,463.775806,44.198237,162.746661,21.343522
DECLINING,identity_contract,Identity + conditional contract context,243,13.799500,21.314914,1.225921,9.774452,32.751858,267.475227,463.775806,44.198237,162.746661,21.343522
DEVELOPING,generic_role,Current generic role model,453,23.075576,42.202049,-6.382687,11.500000,0.000000,316.499143,553.006551,-31.896059,157.538462,0.000000
DEVELOPING,identity_raw,Own-history rate,453,17.379664,29.795699,-2.593378,9.601464,24.683723,270.940344,462.780972,-21.929445,147.089409,14.394604
DEVELOPING,identity_shrunk,Own history + cohort shrinkage,453,16.973300,28.385594,-1.839959,9.654892,26.444740,271.002369,463.693316,-17.311941,139.756961,14.375007
DEVELOPING,identity_state,Career-state adjusted identity,453,16.964429,28.412790,-1.743491,9.587494,26.483183,271.220694,464.333569,-15.933728,139.756961,14.306026
DEVELOPING,identity_guardrail,Identity + established-star evidence floor,453,16.964429,28.412790,-1.743491,9.587494,26.483183,271.220694,464.333569,-15.933728,139.756961,14.306026
DEVELOPING,identity_contract,Identity + conditional contract context,453,16.964429,28.412790,-1.743491,9.587494,26.483183,271.220694,464.333569,-15.933728,139.756961,14.306026
ESTABLISHED,generic_role,Current generic role model,986,20.268281,29.823300,5.368606,15.211111,0.000000,373.420416,569.074492,150.249097,267.096068,0.000000
ESTABLISHED,identity_raw,Own-history rate,986,15.400359,22.140072,5.256368,11.769069,24.017437,313.798209,499.587295,136.182417,212.475717,15.966510
ESTABLISHED,identity_shrunk,Own history + cohort shrinkage,986,15.252222,21.943241,5.237760,11.897021,24.748317,312.870923,498.806318,136.257274,213.066476,16.214832
ESTABLISHED,identity_state,Career-state adjusted identity,986,15.252222,21.943241,5.237760,11.897021,24.748317,312.870923,498.806318,136.257274,213.066476,16.214832
ESTABLISHED,identity_guardrail,Identity + established-star evidence floor,986,15.252222,21.943241,5.237760,11.897021,24.748317,312.870923,498.806318,136.257274,213.066476,16.214832
ESTABLISHED,identity_contract,Identity + conditional contract context,986,15.252222,21.943241,5.237760,11.897021,24.748317,312.870923,498.806318,136.257274,213.066476,16.214832
LOW_SAMPLE,generic_role,Current generic role model,1026,23.652011,45.855771,-10.366268,11.222222,0.000000,306.613932,598.857621,-91.438658,138.900000,0.000000
LOW_SAMPLE,identity_raw,Own-history rate,1026,19.006779,34.933653,-7.235828,10.504244,19.639903,264.579411,498.557438,-99.787640,126.265625,13.709266
LOW_SAMPLE,identity_shrunk,Own history + cohort shrinkage,1026,18.343622,30.512882,-5.121163,10.022557,22.443710,268.504398,502.820426,-88.412342,127.405878,12.429159
LOW_SAMPLE,identity_state,Career-state adjusted identity,1026,18.343622,30.512882,-5.121163,10.022557,22.443710,268.504398,502.820426,-88.412342,127.405878,12.429159
LOW_SAMPLE,identity_guardrail,Identity + established-star evidence floor,1026,18.343622,30.512882,-5.121163,10.022557,22.443710,268.504398,502.820426,-88.412342,127.405878,12.429159
LOW_SAMPLE,identity_contract,Identity + conditional contract context,1026,18.343622,30.512882,-5.121163,10.022557,22.443710,268.504398,502.820426,-88.412342,127.405878,12.429159
PEAK,generic_role,Current generic role model,124,18.310011,25.271359,-9.615095,14.035714,0.000000,351.710325,502.689655,-47.761569,270.453896,0.000000
PEAK,identity_raw,Own-history rate,124,16.526366,22.698331,5.490822,11.839722,9.741364,355.264759,538.316806,179.973535,247.016698,-1.010614
PEAK,identity_shrunk,Own history + cohort shrinkage,124,15.984852,21.970434,3.210647,10.764367,12.698842,344.870171,526.487430,145.687535,227.202581,1.944826
PEAK,identity_state,Career-state adjusted identity,124,15.984852,21.970434,3.210647,10.764367,12.698842,344.870171,526.487430,145.687535,227.202581,1.944826
PEAK,identity_guardrail,Identity + established-star evidence floor,124,15.984852,21.970434,3.210647,10.764367,12.698842,344.870171,526.487430,145.687535,227.202581,1.944826
PEAK,identity_contract,Identity + conditional contract context,124,15.984852,21.970434,3.210647,10.764367,12.698842,344.870171,526.487430,145.687535,227.202581,1.944826
RETURNING_FROM_INJURY_OR_SHORTENED,generic_role,Current generic role model,1019,27.929887,53.281334,-9.691710,12.900000,0.000000,382.967503,723.096680,-98.228482,177.789474,0.000000
RETURNING_FROM_INJURY_OR_SHORTENED,identity_raw,Own-history rate,1019,19.641827,35.865148,3.897610,10.122679,29.674518,297.561166,528.258320,-1.759295,150.832912,22.301197
RETURNING_FROM_INJURY_OR_SHORTENED,identity_shrunk,Own history + cohort shrinkage,1019,18.716438,33.264544,3.773080,9.778338,32.987776,298.725205,532.259681,-5.097720,151.290777,21.997245
RETURNING_FROM_INJURY_OR_SHORTENED,identity_state,Career-state adjusted identity,1019,18.785852,33.362115,4.192059,9.870100,32.739249,299.057766,532.337150,-0.931387,150.628756,21.910407
RETURNING_FROM_INJURY_OR_SHORTENED,identity_guardrail,Identity + established-star evidence floor,1019,18.785852,33.362115,4.192059,9.870100,32.739249,299.057766,532.337150,-0.931387,150.628756,21.910407
RETURNING_FROM_INJURY_OR_SHORTENED,identity_contract,Identity + conditional contract context,1019,18.785852,33.362115,4.192059,9.870100,32.739249,299.057766,532.337150,-0.931387,150.628756,21.910407
