player_id,player_name,position,prior_team,target_season,career_state,career_flags,target_age,prior_seasons,prior_games,full_prior_seasons,latest_games,latest_rate,older_rate,rate_trend_pct,opportunity_trend_pct,latest_percentile,role_bucket,role_rank,role_stability,star_flag,shortened_prior,cohort_rows,cohort_rate,history_weight,state_adjustment,evidence_floor,predicted_games,contract_status,contract_decision_type,contract_rebound_research,generic_role_rate,identity_raw_rate,identity_shrunk_rate,identity_state_rate,identity_guardrail_rate,identity_contract_rate,generic_role_total,identity_raw_total,identity_shrunk_total,identity_state_total,identity_guardrail_total,identity_contract_total,generic_role_eq17,identity_raw_eq17,identity_shrunk_eq17,identity_state_eq17,identity_guardrail_eq17,identity_contract_eq17,forecast_team,forecast_position,current_roster_match
00-0033106,Jared Goff,QB,DET,2026,PEAK,,31.883591,3,51,3,17,268.470588,271.182353,-0.999978,2.828678,77.404922,STARTER,1,HIGH,False,False,171,241.600000,0.927273,1.000000,0.000000,16.809524,UNKNOWN,,False,245.000000,269.879613,267.822914,267.822914,267.822914,267.822914,4118.333333,4536.547784,4501.975651,4501.975651,4501.975651,4501.975651,4165.000000,4587.953424,4552.989539,4552.989539,4552.989539,4552.989539,DET,QB,True
00-0026498,Matthew Stafford,QB,LAR,2026,ESTABLISHED,LATE_CAREER|ESTABLISHED_STAR_EVIDENCE,38.566822,3,48,3,17,276.882353,245.347917,12.852946,5.904305,84.787472,STARTER,1,HIGH,True,False,46,268.687500,0.905660,1.000000,236.152079,16.320000,UNKNOWN,,False,245.000000,262.391199,262.985190,262.985190,262.985190,262.985190,3998.400000,4282.224365,4291.918293,4291.918293,4291.918293,4291.918293,4165.000000,4460.650380,4470.748222,4470.748222,4470.748222,4470.748222,LAR,QB,True
00-0034855,Baker Mayfield,QB,TB,2026,ESTABLISHED,,31.385292,3,51,3,17,217.235294,255.317647,-14.915676,-4.502286,31.319911,STARTER,1,HIGH,False,False,171,241.600000,0.910714,1.000000,0.000000,16.809524,UNKNOWN,,False,245.000000,234.490303,235.125097,235.125097,235.125097,235.125097,4118.333333,3941.670328,3952.340919,3952.340919,3952.340919,3952.340919,4165.000000,3986.335147,3997.126652,3997.126652,3997.126652,3997.126652,TB,QB,True
00-0033873,Patrick Mahomes,QB,KC,2026,ESTABLISHED,,30.958178,3,46,3,14,256.214286,251.078125,2.045642,-2.196678,67.785235,STARTER,1,HIGH,False,False,171,241.600000,0.901961,1.000000,0.000000,15.127586,UNKNOWN,,False,245.000000,253.792104,252.596800,252.596800,252.596800,252.596800,3706.258621,3839.261938,3821.179869,3821.179869,3821.179869,3821.179869,4165.000000,4314.465775,4294.145601,4294.145601,4294.145601,4294.145601,KC,QB,True
00-0039851,Drake Maye,QB,NE,2026,ASCENDING,,24.006633,2,30,2,17,258.470588,175.076923,47.632586,11.312217,69.574944,STARTER,1,HIGH,False,False,204,225.507692,0.810811,1.060000,0.000000,15.420168,UNKNOWN,,False,245.000000,234.981571,233.189216,247.180569,247.180569,247.180569,3777.941176,3623.455322,3595.816899,3811.565913,3811.565913,3811.565913,4165.000000,3994.686712,3964.216668,4202.069668,4202.069668,4202.069668,NE,QB,True
00-0033077,Dak Prescott,QB,DAL,2026,PEAK,,33.093746,3,42,3,17,267.764706,253.688971,5.548422,-0.255595,76.286353,STARTER,1,MEDIUM,False,False,171,241.600000,0.913043,1.000000,0.000000,14.677778,UNKNOWN,,False,245.000000,261.210783,259.505498,259.505498,259.505498,259.505498,3596.055556,3833.993829,3808.964027,3808.964027,3808.964027,3808.964027,4165.000000,4440.583314,4411.593461,4411.593461,4411.593461,4411.593461,DAL,QB,True
00-0039918,Caleb Williams,QB,CHI,2026,ASCENDING,,24.786936,2,34,2,17,231.882353,208.294118,11.324485,1.067616,44.295302,STARTER,1,HIGH,False,False,204,225.507692,0.829268,1.024914,0.000000,16.478261,UNKNOWN,,False,245.000000,225.318746,225.351006,230.965370,230.965370,230.965370,4037.173913,3712.861083,3713.392656,3805.907624,3805.907624,3805.907624,4165.000000,3830.418690,3830.967094,3926.411295,3926.411295,3926.411295,CHI,QB,True
00-0039732,Bo Nix,QB,DEN,2026,DEVELOPING,,26.517293,2,34,2,17,231.235294,222.058824,4.132450,7.936508,43.624161,STARTER,1,HIGH,False,False,204,225.507692,0.739130,1.009524,0.000000,16.478261,UNKNOWN,,False,245.000000,228.717426,227.880104,230.050391,230.050391,230.050391,4037.173913,3768.865418,3755.067808,3790.830359,3790.830359,3790.830359,4165.000000,3888.196249,3873.961776,3910.856650,3910.856650,3910.856650,DEN,QB,True
00-0034857,Josh Allen,QB,BUF,2026,ESTABLISHED,,30.281915,3,49,3,16,229.250000,240.224816,-4.568561,-8.853028,41.387025,STARTER,1,HIGH,False,False,171,241.600000,0.907407,1.000000,0.000000,16.120492,UNKNOWN,,False,245.000000,234.123971,234.816196,234.816196,234.816196,234.816196,3949.520492,3774.193560,3785.352566,3785.352566,3785.352566,3785.352566,4165.000000,3980.107512,3991.875335,3991.875335,3991.875335,3991.875335,BUF,QB,True
00-0036355,Justin Herbert,QB,LAC,2026,ESTABLISHED,,28.480373,3,46,3,16,232.937500,232.347511,0.253925,1.434309,45.413870,STARTER,1,HIGH,False,False,171,241.600000,0.901961,1.000000,0.000000,15.881034,UNKNOWN,,False,245.000000,232.685052,233.559066,233.559066,233.559066,233.559066,3890.853448,3695.279328,3709.159583,3709.159583,3709.159583,3709.159583,4165.000000,3955.645877,3970.504125,3970.504125,3970.504125,3970.504125,LAC,QB,True
