playerName,team,position,primaryMetric,role,roleSource,identityMatched,identityEligible,identityWeight,careerState,careerFlags,contractStatus,officialPerGame,identityPerGame,candidatePerGame,officialProjection,candidateProjection,delta,actualGames,identityProjectedGames,candidateRemainingGames,productionChanged
Jared Goff,DET,QB,passingYards,STARTER,Ourlads depth chart,True,True,0.920000,PEAK,,UNKNOWN,105.000000,267.822914,254.797081,1784.000000,4283.017646,2499.017646,0.000000,16.809524,16.809524,False
Dak Prescott,DAL,QB,passingYards,STARTER,Ourlads depth chart,True,True,0.920000,PEAK,,UNKNOWN,102.500000,259.505498,246.945058,1743.000000,3624.604742,1881.604742,0.000000,14.677778,14.677778,False
Josh Allen,BUF,QB,passingYards,STARTER,Ourlads depth chart,True,True,0.900000,ESTABLISHED,,UNKNOWN,107.300000,234.816196,222.064576,1824.000000,3579.790227,1755.790227,0.000000,16.120492,16.120492,False
Justin Herbert,LAC,QB,passingYards,STARTER,Ourlads depth chart,True,True,0.900000,ESTABLISHED,,UNKNOWN,105.400000,233.559066,220.743159,1791.000000,3505.629620,1714.629620,0.000000,15.881034,15.881034,False
Trevor Lawrence,JAX,QB,passingYards,STARTER,Ourlads depth chart,True,True,0.900000,ESTABLISHED,,UNKNOWN,94.700000,228.326763,214.964087,1611.000000,3182.445495,1571.445495,0.000000,14.804545,14.804545,False
Matthew Stafford,LAR,QB,passingYards,STARTER,Ourlads depth chart,True,True,0.950000,ESTABLISHED,LATE_CAREER|ESTABLISHED_STAR_EVIDENCE,UNKNOWN,157.300000,262.985190,257.700930,2674.000000,4205.679186,1531.679186,0.000000,16.320000,16.320000,False
Geno Smith,NYJ,QB,passingYards,STARTER,Ourlads depth chart,True,True,0.900000,ESTABLISHED,RECENT_TEAM_CHANGE,UNKNOWN,119.000000,227.183474,216.365127,2022.000000,3348.892073,1326.892073,0.000000,15.477966,15.477966,False
Patrick Mahomes,KC,QB,passingYards,STARTER,Ourlads depth chart,True,True,0.900000,ESTABLISHED,,UNKNOWN,143.600000,252.596800,241.697120,2441.000000,3656.293969,1215.293969,0.000000,15.127586,15.127586,False
Caleb Williams,CHI,QB,passingYards,STARTER,Ourlads depth chart,True,True,0.900000,ASCENDING,,UNKNOWN,152.400000,230.965370,223.108833,2590.000000,3676.445582,1086.445582,0.000000,16.478261,16.478261,False
Baker Mayfield,TB,QB,passingYards,STARTER,Ourlads depth chart,True,True,0.900000,ESTABLISHED,,UNKNOWN,161.300000,235.125097,227.742587,2743.000000,3828.244487,1085.244487,0.000000,16.809524,16.809524,False
Jaxon Smith-Njigba,SEA,WR,receivingYards,STARTER,Ourlads depth chart,True,True,0.950000,ASCENDING,ESTABLISHED_STAR_EVIDENCE,UNKNOWN,30.600000,88.447998,85.555598,521.000000,1421.852591,900.852591,0.000000,16.619048,16.619048,False
Bijan Robinson,ATL,RB,scrimmageYards,STARTER,Ourlads depth chart,True,True,0.950000,ASCENDING,ESTABLISHED_STAR_EVIDENCE,UNKNOWN,,126.397596,126.397596,1324.000000,2100.607715,776.607715,0.000000,16.619048,16.619048,False
Jordan Love,GB,QB,passingYards,STARTER,Ourlads depth chart,True,True,0.900000,ESTABLISHED,,UNKNOWN,159.000000,229.813623,222.732261,2703.000000,3439.514649,736.514649,0.000000,15.442373,15.442373,False
Lamar Jackson,BAL,QB,passingYards,STARTER,Ourlads depth chart,True,True,0.900000,RETURNING_FROM_INJURY_OR_SHORTENED,SHORTENED_PRIOR_SEASON,UNKNOWN,163.100000,224.752793,218.587514,2772.000000,3384.714640,612.714640,0.000000,15.484483,15.484483,False
Puka Nacua,LAR,WR,receivingYards,STARTER,Ourlads depth chart,True,True,0.950000,ASCENDING,ESTABLISHED_STAR_EVIDENCE,UNKNOWN,48.000000,98.641288,96.109224,816.000000,1415.208318,599.208318,0.000000,14.725000,14.725000,False
Ja'Marr Chase,CIN,WR,receivingYards,STARTER,Ourlads depth chart,True,True,0.950000,PEAK,ESTABLISHED_STAR_EVIDENCE,UNKNOWN,44.900000,86.387297,84.312932,763.000000,1352.738773,589.738773,0.000000,16.044262,16.044262,False
Zay Flowers,BAL,WR,receivingYards,STARTER,Ourlads depth chart,True,True,0.950000,ASCENDING,ESTABLISHED_STAR_EVIDENCE,UNKNOWN,34.600000,67.700235,66.045223,588.000000,1089.213529,501.213529,0.000000,16.491935,16.491935,False
Trey McBride,ARI,TE,receivingYards,STARTER,Ourlads depth chart,True,True,0.950000,PEAK,ESTABLISHED_STAR_EVIDENCE,UNKNOWN,32.900000,65.380993,63.756943,559.000000,1043.762879,484.762879,0.000000,16.370968,16.370968,False
Derrick Henry,BAL,RB,scrimmageYards,STARTER,Ourlads depth chart,True,True,0.950000,ESTABLISHED,LATE_CAREER|ESTABLISHED_STAR_EVIDENCE,UNKNOWN,,103.296477,103.296477,1294.000000,1736.364609,442.364609,0.000000,16.809524,16.809524,False
Jahmyr Gibbs,DET,RB,scrimmageYards,STARTER,Ourlads depth chart,True,True,0.950000,ASCENDING,ESTABLISHED_STAR_EVIDENCE,UNKNOWN,,106.785490,106.785490,1309.000000,1747.605839,438.605839,0.000000,16.365574,16.365574,False
De'Von Achane,MIA,RB,scrimmageYards,STARTER,Ourlads depth chart,True,True,0.950000,ASCENDING,ESTABLISHED_STAR_EVIDENCE,UNKNOWN,,109.454730,109.454730,1309.000000,1689.121045,380.121045,0.000000,15.432143,15.432143,False
