playerName,team,position,primaryMetric,role,roleSource,identityMatched,identityEligible,identityWeight,careerState,careerFlags,contractStatus,officialPerGame,identityPerGame,candidatePerGame,officialProjection,candidateProjection,delta,actualGames,identityProjectedGames,candidateRemainingGames,productionChanged
Matthew Stafford,LAR,QB,passingYards,STARTER,Ourlads depth chart,True,True,0.950000,ESTABLISHED,LATE_CAREER|ESTABLISHED_STAR_EVIDENCE,UNKNOWN,153.400000,262.985190,257.505930,2610.000000,4099.990855,1489.990855,1.000000,16.320000,15.320000,False
Brock Bowers,LV,TE,receivingYards,STARTER,Ourlads depth chart,True,True,0.950000,RETURNING_FROM_INJURY_OR_SHORTENED,SHORTENED_PRIOR_SEASON|ESTABLISHED_STAR_EVIDENCE,UNKNOWN,32.000000,60.001254,58.601191,502.000000,865.201349,363.201349,0.000000,14.764228,14.764228,False
Jared Goff,DET,QB,passingYards,STARTER,Ourlads depth chart,True,True,0.920000,PEAK,,UNKNOWN,106.700000,267.822914,254.933081,1913.000000,4236.370661,2323.370661,1.000000,16.809524,15.809524,False
Baker Mayfield,TB,QB,passingYards,STARTER,Ourlads depth chart,True,True,0.900000,ESTABLISHED,,UNKNOWN,108.500000,235.125097,222.462587,1953.000000,3733.027613,1780.027613,1.000000,16.809524,15.809524,False
Dak Prescott,DAL,QB,passingYards,STARTER,Ourlads depth chart,True,True,0.920000,PEAK,,UNKNOWN,103.900000,259.505498,247.057058,1837.000000,3554.191595,1717.191595,1.000000,14.677778,13.677778,False
Justin Herbert,LAC,QB,passingYards,STARTER,Ourlads depth chart,True,True,0.900000,ESTABLISHED,,UNKNOWN,109.400000,233.559066,221.143159,1960.000000,3499.838874,1539.838874,1.000000,15.881034,14.881034,False
Caleb Williams,CHI,QB,passingYards,STARTER,Ourlads depth chart,True,True,0.900000,ASCENDING,,UNKNOWN,117.400000,230.965370,219.608833,2148.000000,3668.162835,1520.162835,1.000000,16.478261,15.478261,False
Geno Smith,NYJ,QB,passingYards,STARTER,Ourlads depth chart,True,True,0.900000,ESTABLISHED,RECENT_TEAM_CHANGE,UNKNOWN,106.100000,227.183474,215.075127,1912.000000,3328.850370,1416.850370,1.000000,15.477966,14.477966,False
Josh Allen,BUF,QB,passingYards,STARTER,Ourlads depth chart,True,True,0.900000,ESTABLISHED,,UNKNOWN,124.900000,234.816196,223.824576,2333.000000,3718.337717,1385.337717,1.000000,16.120492,15.120492,False
Jordan Love,GB,QB,passingYards,STARTER,Ourlads depth chart,True,True,0.900000,ESTABLISHED,,UNKNOWN,131.000000,229.813623,219.932261,2483.000000,3563.343744,1080.343744,1.000000,15.442373,14.442373,False
Trevor Lawrence,JAX,QB,passingYards,STARTER,Ourlads depth chart,True,True,0.900000,ESTABLISHED,,UNKNOWN,122.200000,228.326763,217.714087,2200.000000,3250.443907,1050.443907,1.000000,14.804545,13.804545,False
C.J. Stroud,HOU,QB,passingYards,STARTER,Ourlads depth chart,True,True,0.780000,DEVELOPING,,UNKNOWN,135.600000,223.777344,204.378328,2444.000000,3143.401219,699.401219,1.000000,15.039655,14.039655,False
Ja'Marr Chase,CIN,WR,receivingYards,STARTER,Ourlads depth chart,True,True,0.950000,PEAK,ESTABLISHED_STAR_EVIDENCE,UNKNOWN,37.900000,86.387297,83.962932,619.000000,1275.160350,656.160350,1.000000,16.044262,15.044262,False
Lamar Jackson,BAL,QB,passingYards,STARTER,Ourlads depth chart,True,True,0.900000,RETURNING_FROM_INJURY_OR_SHORTENED,SHORTENED_PRIOR_SEASON,UNKNOWN,163.600000,224.752793,218.637514,2941.000000,3490.851350,549.851350,1.000000,15.484483,14.484483,False
Bo Nix,DEN,QB,passingYards,STARTER,Ourlads depth chart,True,True,0.780000,DEVELOPING,,UNKNOWN,180.900000,230.050391,219.237305,3025.000000,3524.412227,499.412227,1.000000,16.478261,15.478261,False
Bijan Robinson,ATL,RB,scrimmageYards,STARTER,Ourlads depth chart,True,True,0.950000,ASCENDING,ESTABLISHED_STAR_EVIDENCE,UNKNOWN,,126.397596,126.397596,1675.000000,2147.210119,472.210119,1.000000,16.619048,15.619048,False
Patrick Mahomes,KC,QB,passingYards,STARTER,Ourlads depth chart,True,True,0.900000,ESTABLISHED,,UNKNOWN,189.900000,252.596800,246.327120,3223.000000,3664.007572,441.007572,1.000000,15.127586,14.127586,False
George Pickens,DAL,WR,receivingYards,STARTER,Ourlads depth chart,True,True,0.950000,PEAK,ESTABLISHED_STAR_EVIDENCE|RECENT_TEAM_CHANGE,UNKNOWN,39.200000,72.610607,70.940077,655.000000,1083.588341,428.588341,1.000000,15.880000,14.880000,False
Jaxon Smith-Njigba,SEA,WR,receivingYards,STARTER,Ourlads depth chart,True,True,0.950000,ASCENDING,ESTABLISHED_STAR_EVIDENCE,UNKNOWN,61.600000,88.447998,87.105598,1108.000000,1482.506518,374.506518,1.000000,16.619048,15.619048,False
