position,model,rows,identity_active_rows,rate_mae,rate_rmse,rate_bias,rate_mae_improvement_vs_role_generic_pct,total_mae,total_rmse,total_bias,total_mae_improvement_vs_role_generic_pct
QB,role_generic,523,242,58.865800,84.609799,-27.341215,0.000000,904.139120,1270.699994,324.776864,0.000000
QB,identity_integrated,523,242,56.423411,83.187076,-25.847103,4.149081,836.685798,1171.808533,175.191520,7.460503
QB,identity_full_stable,523,242,56.511473,83.205087,-25.982152,3.999483,836.776218,1171.904823,173.885772,7.450502
RB,role_generic,1209,238,29.127678,39.084129,15.007363,0.000000,516.340248,682.315574,381.366551,0.000000
RB,identity_integrated,1209,238,28.214985,38.208478,13.983994,3.133423,487.519040,656.514180,332.249634,5.581825
RB,identity_full_stable,1209,238,28.206389,38.195412,13.762800,3.162933,487.331721,656.275768,329.158982,5.618103
TE,role_generic,947,205,12.274364,16.359207,2.754279,0.000000,215.974403,289.800526,123.849081,0.000000
TE,identity_integrated,947,205,11.302021,15.225622,2.653712,7.921739,195.442942,266.884167,104.170815,9.506433
TE,identity_full_stable,947,205,11.274501,15.221837,2.573359,8.145950,195.053410,266.829026,103.089751,9.686793
WR,role_generic,1699,563,15.913207,20.226158,3.969826,0.000000,284.316775,361.995557,168.040235,0.000000
WR,identity_integrated,1699,563,14.984144,19.154135,3.596374,5.838311,261.437668,334.262728,130.035814,8.047048
WR,identity_full_stable,1699,563,14.992379,19.174994,3.483406,5.786561,261.441113,334.522838,128.482393,8.045836
