subset,model,rows,identity_active_rows,rate_mae,rate_rmse,rate_bias,rate_mae_improvement_vs_role_generic_pct,total_mae,total_rmse,total_bias,total_mae_improvement_vs_role_generic_pct
STABLE_STARTERS,role_generic,1575,1575,22.620652,31.872967,9.080290,0.000000,515.789460,767.723842,368.428444,0.000000
STABLE_STARTERS,identity_integrated,1575,1575,17.576633,25.067808,7.069526,22.298290,380.166299,567.167435,171.685620,26.294287
STABLE_STARTERS,identity_full_stable,1575,1575,17.361265,24.633298,6.352141,23.250376,375.733200,562.836683,162.062155,27.153765
ESTABLISHED_STARS,role_generic,376,376,18.850376,25.003151,-9.905209,0.000000,377.415426,539.444412,54.935638,0.000000
ESTABLISHED_STARS,identity_integrated,376,376,15.467291,20.433928,4.971452,17.947042,370.350195,548.501536,150.639153,1.872004
ESTABLISHED_STARS,identity_full_stable,376,376,16.024361,21.078595,6.624415,14.991821,376.991145,558.635308,175.320616,0.112417
STABLE_ESTABLISHED_STARS,role_generic,376,376,18.850376,25.003151,-9.905209,0.000000,377.415426,539.444412,54.935638,0.000000
STABLE_ESTABLISHED_STARS,identity_integrated,376,376,15.467291,20.433928,4.971452,17.947042,370.350195,548.501536,150.639153,1.872004
STABLE_ESTABLISHED_STARS,identity_full_stable,376,376,16.024361,21.078595,6.624415,14.991821,376.991145,558.635308,175.320616,0.112417
SHORTENED_PRIOR_SEASON,role_generic,2353,342,24.770884,48.960190,-10.309856,0.000000,345.563047,676.554191,35.863081,0.000000
SHORTENED_PRIOR_SEASON,identity_integrated,2353,342,24.013776,48.093787,-10.772476,3.056441,316.557018,613.359608,-11.706373,8.393846
SHORTENED_PRIOR_SEASON,identity_full_stable,2353,342,23.981878,48.029450,-10.883355,3.185214,315.769190,612.074259,-13.048520,8.621830
