position,model,model_label,rows,rate_mae,rate_rmse,rate_bias,rate_median_ae,rate_mae_improvement_vs_generic_pct,total_mae,total_rmse,total_bias,total_median_ae,total_mae_improvement_vs_generic_pct
QB,generic_role,Current generic role model,517,74.404395,104.609082,-39.093144,43.187500,0.000000,1068.735773,1467.762848,-214.719160,743.096257,0.000000
QB,identity_raw,Own-history rate,517,50.880656,72.051661,-2.848980,32.592404,31.616062,884.658205,1187.830907,1.318930,624.331913,17.223861
QB,identity_shrunk,Own history + cohort shrinkage,517,47.846590,64.835061,5.486622,33.898148,35.693867,883.431254,1189.866274,51.899895,605.850033,17.338665
QB,identity_state,Career-state adjusted identity,517,47.893408,64.942544,6.215165,33.754568,35.630942,880.784933,1188.801684,60.152317,606.691417,17.586278
QB,identity_guardrail,Identity + established-star evidence floor,517,47.893408,64.942544,6.215165,33.754568,35.630942,880.784933,1188.801684,60.152317,606.691417,17.586278
QB,identity_contract,Identity + conditional contract context,517,47.893408,64.942544,6.215165,33.754568,35.630942,880.784933,1188.801684,60.152317,606.691417,17.586278
RB,generic_role,Current generic role model,1211,19.994061,26.214465,3.466699,15.400000,0.000000,309.982510,420.898504,55.649562,232.000000,0.000000
RB,identity_raw,Own-history rate,1211,16.151926,21.972818,1.554869,11.697803,19.216381,265.139276,366.207187,28.090788,191.412672,14.466376
RB,identity_shrunk,Own history + cohort shrinkage,1211,16.043477,21.821353,0.589651,11.629989,19.758788,265.865737,368.507474,20.052564,186.151515,14.232020
RB,identity_state,Career-state adjusted identity,1211,16.043565,21.814738,0.604250,11.775090,19.758349,265.377590,368.547856,20.544388,183.216879,14.389496
RB,identity_guardrail,Identity + established-star evidence floor,1211,16.043565,21.814738,0.604250,11.775090,19.758349,265.377590,368.547856,20.544388,183.216879,14.389496
RB,identity_contract,Identity + conditional contract context,1211,16.043565,21.814738,0.604250,11.775090,19.758349,265.377590,368.547856,20.544388,183.216879,14.389496
TE,generic_role,Current generic role model,953,11.877927,16.004859,-1.322055,8.200000,0.000000,171.298635,241.401741,-9.161719,107.640000,0.000000
TE,identity_raw,Own-history rate,953,8.580375,11.463420,-0.034933,6.864346,27.762022,133.191723,187.618731,-2.143417,95.968921,22.245893
TE,identity_shrunk,Own history + cohort shrinkage,953,8.421778,11.250560,-0.378299,6.699961,29.097244,132.967933,187.740407,-5.647897,89.041732,22.376537
TE,identity_state,Career-state adjusted identity,953,8.379635,11.210627,-0.288423,6.602691,29.452045,132.657507,187.427922,-4.509679,88.692949,22.557756
TE,identity_guardrail,Identity + established-star evidence floor,953,8.380657,11.209971,-0.284434,6.602691,29.443436,132.611945,187.396334,-4.446555,88.692949,22.584354
TE,identity_contract,Identity + conditional contract context,953,8.380657,11.209971,-0.284434,6.602691,29.443436,132.611945,187.396334,-4.446555,88.692949,22.584354
WR,generic_role,Current generic role model,1699,15.255179,19.823148,0.539597,12.222222,0.000000,243.409715,323.815041,29.841351,179.000000,0.000000
WR,identity_raw,Own-history rate,1699,12.744884,16.350453,1.045120,10.652736,16.455363,207.676923,276.479664,24.278703,165.164835,14.680101
WR,identity_shrunk,Own history + cohort shrinkage,1699,12.536306,16.030772,0.611139,9.981005,17.822619,209.143640,276.363922,20.337505,158.908360,14.077530
WR,identity_state,Career-state adjusted identity,1699,12.488486,15.947968,0.763101,10.031696,18.136091,208.453742,275.178523,22.551622,157.751589,14.360960
WR,identity_guardrail,Identity + established-star evidence floor,1699,12.488107,15.947775,0.763479,10.031696,18.138573,208.459987,275.179780,22.557867,157.751589,14.358395
WR,identity_contract,Identity + conditional contract context,1699,12.488107,15.947775,0.763479,10.031696,18.138573,208.459987,275.179780,22.557867,157.751589,14.358395
