subset,model,model_label,rows,rate_mae,rate_rmse,rate_bias,rate_median_ae,rate_mae_improvement_vs_generic_pct,total_mae,total_rmse,total_bias,total_median_ae,total_mae_improvement_vs_generic_pct
ESTABLISHED_STAR_EVIDENCE,generic_role,Current generic role model,376,18.723919,24.935840,-10.107337,14.500000,0.000000,397.689744,547.056330,-74.194799,296.855932,0.000000
ESTABLISHED_STAR_EVIDENCE,identity_raw,Own-history rate,376,16.941661,22.368070,8.419544,13.475789,9.518611,389.013883,575.785553,202.133707,272.848809,2.181565
ESTABLISHED_STAR_EVIDENCE,identity_shrunk,Own history + cohort shrinkage,376,15.968649,21.187770,5.600258,12.687079,14.715240,377.762560,559.170344,160.215102,275.896952,5.010736
ESTABLISHED_STAR_EVIDENCE,identity_state,Career-state adjusted identity,376,16.023481,21.080138,6.612593,12.391899,14.422396,377.078404,558.659367,175.132404,271.807210,5.182769
ESTABLISHED_STAR_EVIDENCE,identity_guardrail,Identity + established-star evidence floor,376,16.024362,21.078595,6.624415,12.391899,14.417693,376.991143,558.635306,175.320615,271.807210,5.204711
ESTABLISHED_STAR_EVIDENCE,identity_contract,Identity + conditional contract context,376,16.024362,21.078595,6.624415,12.391899,14.417693,376.991143,558.635306,175.320615,271.807210,5.204711
SHORTENED_PRIOR_SEASON,generic_role,Current generic role model,2360,25.102600,49.759419,-11.810537,10.731250,0.000000,316.947162,639.931123,-124.206553,131.982941,0.000000
SHORTENED_PRIOR_SEASON,identity_raw,Own-history rate,2360,18.464196,34.826925,-1.178726,9.158638,26.445086,256.562760,493.674080,-54.067094,117.372833,19.051883
SHORTENED_PRIOR_SEASON,identity_shrunk,Own history + cohort shrinkage,2360,17.463140,31.401228,-0.397806,8.677480,30.432943,257.052311,495.989250,-52.115217,113.672317,18.897424
SHORTENED_PRIOR_SEASON,identity_state,Career-state adjusted identity,2360,17.498910,31.483842,-0.334926,8.769690,30.290447,257.247798,496.635119,-51.527276,113.949166,18.835747
SHORTENED_PRIOR_SEASON,identity_guardrail,Identity + established-star evidence floor,2360,17.498910,31.483842,-0.334926,8.769690,30.290447,257.247798,496.635119,-51.527276,113.949166,18.835747
SHORTENED_PRIOR_SEASON,identity_contract,Identity + conditional contract context,2360,17.498910,31.483842,-0.334926,8.769690,30.290447,257.247798,496.635119,-51.527276,113.949166,18.835747
STAR_AND_SHORTENED,generic_role,Current generic role model,59,16.679499,22.529884,-10.322855,12.333333,0.000000,366.146973,467.040138,-227.064962,311.800000,0.000000
STAR_AND_SHORTENED,identity_raw,Own-history rate,59,15.316330,18.673338,11.031361,13.796313,8.172725,276.861767,365.507321,60.969549,215.593580,24.385073
STAR_AND_SHORTENED,identity_shrunk,Own history + cohort shrinkage,59,13.274444,16.590047,7.742046,10.813145,20.414614,276.069292,357.065729,16.410321,212.576647,24.601509
STAR_AND_SHORTENED,identity_state,Career-state adjusted identity,59,13.737878,17.060300,8.536904,11.138036,17.636147,273.987332,355.681304,27.060759,224.688765,25.170122
STAR_AND_SHORTENED,identity_guardrail,Identity + established-star evidence floor,59,13.737878,17.060300,8.536904,11.138036,17.636147,273.987332,355.681304,27.060759,224.688765,25.170122
STAR_AND_SHORTENED,identity_contract,Identity + conditional contract context,59,13.737878,17.060300,8.536904,11.138036,17.636147,273.987332,355.681304,27.060759,224.688765,25.170122
