position,model,modelLabel,rows,contextEligibleRows,rateMae,rateRmse,rateBias,rateMaeImprovementPct,totalMae,totalRmse,totalBias,totalMaeImprovementPct
QB,role_generic,Current generic role line,523,273,58.865800,84.609799,-27.341215,0.000000,904.139120,1270.699994,324.776864,0.000000
QB,last_season,Last-season player baseline,523,273,55.773333,82.766780,-26.894920,5.253420,809.828989,1149.209360,142.177514,10.430931
QB,last_season_context,Last season + QB/team/coach/scheme/matchup context,523,273,55.789394,82.810478,-26.901498,5.226135,809.574282,1150.401877,142.090426,10.459103
RB,role_generic,Current generic role line,1209,343,29.127678,39.084129,15.007363,0.000000,516.340248,682.315574,381.366551,0.000000
RB,last_season,Last-season player baseline,1209,343,27.907236,37.707033,13.297740,4.189975,479.836302,644.450305,307.067443,7.069746
RB,last_season_context,Last season + QB/team/coach/scheme/matchup context,1209,343,27.901617,37.709325,13.240662,4.209266,479.934570,644.452603,306.223574,7.050715
TE,role_generic,Current generic role line,947,253,12.274364,16.359207,2.754279,0.000000,215.974403,289.800526,123.849081,0.000000
TE,last_season,Last-season player baseline,947,253,11.140081,14.978318,2.484410,9.241075,191.937091,262.098005,98.666146,11.129704
TE,last_season_context,Last season + QB/team/coach/scheme/matchup context,947,253,11.111213,14.960621,2.434034,9.476267,191.621263,261.529710,97.894843,11.275938
WR,role_generic,Current generic role line,1699,735,15.913207,20.226158,3.969826,0.000000,284.316775,361.995557,168.040235,0.000000
WR,last_season,Last-season player baseline,1699,735,14.805809,18.894781,3.263016,6.958983,255.903993,326.625340,118.322226,9.993354
WR,last_season_context,Last season + QB/team/coach/scheme/matchup context,1699,735,14.801215,18.883280,3.195313,6.987854,255.951912,326.656596,117.288087,9.976500
