player_id,player_name,position,prior_team,target_season,target_age,prior_seasons,prior_games,full_prior_seasons,latest_games,role_bucket,role_rank,contract_rebound_research,generic_role_eq17,identity_raw_eq17,identity_shrunk_eq17,identity_state_eq17,identity_guardrail_eq17,identity_contract_eq17,forecast_team,forecast_position,current_roster_match,target_position,target_team,target_role,prior_role,target_room_ordinal,depth_verified,target_role_source,priorTeam,targetTeam,newTeam,priorQuarterbackId,targetQuarterbackId,targetQuarterback,newQuarterback,quarterbackRateDeltaPct,quarterbackFactor,priorSchemeValue,destinationSchemeValue,schemeDeltaPct,schemeFactor,newHeadCoach,newOffensiveCoordinator,offensiveContinuity,coachContinuityScore,coachingNote,seasonMatchupIndex,seasonMatchupFactor,nextOpponent,nextMatchupIndex,nextMatchupFactor,combinedFactor,role_generic_rate,last_year_raw_rate,last_year_rate,last_year_context_rate,last_year_games,last_year_reported_rate,older_fallback_rate,last_year_sample_weight,projection_blend_weight,context_eligible,projected_games_v21,role_generic_total,last_season_total,last_season_context_total,productionChanged,last_season_rate,last_season_context_rate,careerStateUsed,contractContextUsed,playerName,team,primaryMetric,role,roleSource,officialProjection,candidateProjection,delta,actualGames,candidateRemainingGames,nextGameRate,newsSignal,newsModifier,newsApplied,lastYearTouchdowns,lastYearTouchdownsPerGame,touchdownProjectionAdjustment,projectedTouchdownsPerGame,actualTouchdowns,candidateTouchdowns,nextGameTouchdownRate
00-0033106,Jared Goff,QB,DET,2026.0,31.883591,3.0,51.0,3.0,17.0,STARTER,1.0,False,4165.0,4587.953424,4552.989539,4552.989539,4552.989539,4552.989539,DET,QB,True,QB,DET,STARTER,STARTER,1,True,Ourlads depth chart,DET,DET,False,00-0033106,4597679,Luke Altmyer,False,0.0,1.0,34.1176470588,34.1176470588,0.0,1.0,False,True,MEDIUM,,Head coach retained; offensive coordinator changed.,0.965270502,0.9913176255,NO,0.8733913129,0.9683478282,0.9913176255,245.0,268.7417645,266.130170405,263.8195285993,17.0,268.470588,271.182353,0.9,0.89,True,16.8,4165.0,4470.986862804,4432.1680804684,False,266.130170405,263.8195285993,False,False,Jared Goff,DET,passingYards,STARTER,Ourlads depth chart,1784.0,4432.1680804684,2648.1680804684,0.0,16.8,255.4690675615,,1.0,False,34.0,2.0,0.9827,1.9654,0.0,33.02,1.9031
00-0033077,Dak Prescott,QB,DAL,2026.0,33.093746,3.0,42.0,3.0,17.0,STARTER,1.0,False,4165.0,4440.583314,4411.593461,4411.593461,4411.593461,4411.593461,DAL,QB,True,QB,DAL,STARTER,STARTER,1,True,Ourlads depth chart,DAL,DAL,False,00-0033077,4360698,Joe Milton III,False,-82.9141036982,1.0,36.7058823529,36.7058823529,0.0,1.0,False,True,MEDIUM,,Head coach retained; offensive coordinator changed.,1.0414720152,1.0103680038,NYG,1.0181711079,1.004542777,1.0103680038,245.0,266.3571325,264.007847925,266.7450822945,17.0,267.764706,253.688971,0.9,0.89,True,15.747,4165.0,4157.331581275,4200.4348108918,False,264.007847925,266.7450822945,False,False,Dak Prescott,DAL,passingYards,STARTER,Ourlads depth chart,1743.0,4200.4348108918,2457.4348108918,0.0,15.747,267.9568457097,,1.0,False,30.0,1.7647,0.9962,1.758,0.0,27.68,1.766
00-0036971,Trevor Lawrence,QB,JAX,2026.0,26.906076,3.0,43.0,3.0,17.0,STARTER,1.0,False,4165.0,3887.127555,3881.554974,3881.554974,3881.554974,3881.554974,JAX,QB,True,QB,JAX,STARTER,STARTER,2,True,Ourlads depth chart,JAX,JAX,False,00-0036971,4360310,Trevor Lawrence,False,0.0,1.0,33.1176470588,33.1176470588,0.0,1.0,False,False,HIGH,,Offensive leadership retained.,1.0462923615,1.0115730904,CLE,0.8346437367,0.96,1.0115730904,245.0,234.2127938,235.29151442,238.0145643816,17.0,235.705882,220.775,0.9,0.9,True,15.918,4165.0,3745.3703265376,3788.7158358261,False,235.29151442,238.0145643816,False,False,Trevor Lawrence,JAX,passingYards,STARTER,Ourlads depth chart,1611.0,3788.7158358261,2177.7158358261,0.0,15.918,228.4939818063,,1.0,False,29.0,1.7059,1.0098,1.7226,0.0,27.42,1.6537
00-0026498,Matthew Stafford,QB,LAR,2026.0,38.566822,3.0,48.0,3.0,17.0,STARTER,1.0,False,4165.0,4460.65038,4470.748222,4470.748222,4470.748222,4470.748222,LAR,QB,True,QB,LAR,STARTER,STARTER,1,True,Ourlads depth chart,LAR,LAR,False,00-0026498,12483,Matthew Stafford,False,0.0,1.0,35.1176470588,35.1176470588,0.0,1.0,False,True,MEDIUM,,Head coach retained; offensive coordinator changed.,0.9972726735,0.9993181684,SF,1.0760306643,1.0190076661,0.9993181684,245.0,273.7289094,270.568729366,270.3842470468,17.0,276.882353,245.347917,0.9,0.89,True,16.557,4165.0,4479.8064521129,4476.7519783536,False,270.568729366,270.3842470468,False,False,Matthew Stafford,LAR,passingYards,STARTER,Ourlads depth chart,2407.0,4476.7519783536,2069.7519783536,0.0,16.557,275.5236205236,,1.0,False,46.0,2.7059,0.9765,2.6424,0.0,43.75,2.6926
00-0040676,Cam Ward,QB,TEN,2026.0,24.27221,1.0,17.0,1.0,17.0,STARTER,1.0,False,4165.0,3169.0,3528.259875,3528.259875,3528.259875,3528.259875,TEN,QB,True,QB,TEN,STARTER,STARTER,1,True,Ourlads depth chart,TEN,TEN,False,00-0040676,4688380,Cam Ward,False,0.0,1.0,33.5294117647,33.5294117647,0.0,1.0,True,True,LOW,,New head coach and offensive staff.,1.0415336171,1.0103834043,NYJ,0.997750088,0.999437522,1.0103834043,245.0,192.2705885,198.070823765,200.127473201,17.0,186.411765,245.0,0.9,0.89,True,16.8,4165.0,3327.589839252,3362.1415497768,False,198.070823765,200.127473201,False,False,Cam Ward,TEN,passingYards,STARTER,Ourlads depth chart,1416.0,3362.1415497768,1946.1415497768,0.0,16.8,200.0149058977,,1.0,False,15.0,0.8824,1.0736,0.9473,0.0,15.91,0.9467
00-0036355,Justin Herbert,QB,LAC,2026.0,28.480373,3.0,46.0,3.0,16.0,STARTER,1.0,False,4165.0,3955.645877,3970.504125,3970.504125,3970.504125,3970.504125,LAC,QB,True,QB,LAC,STARTER,STARTER,2,True,Ourlads depth chart,LAC,LAC,False,00-0036355,4038941,Justin Herbert,False,0.0,1.0,33.4705882353,33.4705882353,0.0,1.0,False,True,MEDIUM,,Head coach retained; offensive coordinator changed.,0.9799317471,0.9949829368,ARI,1.0807432073,1.0201858018,0.9949829368,245.0,232.8785011,234.211865979,233.0368102366,16.0,232.9375,232.347511,0.9,0.89,True,15.828,4165.0,3707.1054147156,3688.5066324248,False,234.211865979,233.0368102366,False,False,Justin Herbert,LAC,passingYards,STARTER,Ourlads depth chart,1791.0,3688.5066324248,1897.5066324248,0.0,15.828,237.7408451066,,1.0,False,26.0,1.625,1.0004,1.6257,0.0,25.73,1.6585
00-0034857,Josh Allen,QB,BUF,2026.0,30.281915,3.0,49.0,3.0,16.0,STARTER,1.0,False,4165.0,3980.107512,3991.875335,3991.875335,3991.875335,3991.875335,BUF,QB,True,QB,BUF,STARTER,STARTER,1,True,Ourlads depth chart,BUF,BUF,False,00-0034857,4039034,Shane Buechele,False,-61.6139585605,1.0,29.1176470588,29.1176470588,0.0,1.0,True,True,MEDIUM,,Head-coach change with some offensive-system continuity.,0.969521031,0.9923802578,HOU,0.9084735779,0.9771183945,0.9923802578,245.0,230.3474816,231.959258624,230.1917888621,16.0,229.25,240.224816,0.9,0.89,True,15.963,4165.0,3702.7656454149,3674.5515256058,False,231.959258624,230.1917888621,False,False,Josh Allen,BUF,passingYards,STARTER,Ourlads depth chart,1824.0,3674.5515256058,1850.5515256058,0.0,15.963,224.9246311515,,1.0,False,25.0,1.5625,1.0041,1.5689,0.0,25.04,1.533
00-0033873,Patrick Mahomes,QB,KC,2026.0,30.958178,3.0,46.0,3.0,14.0,STARTER,1.0,False,4165.0,4314.465775,4294.145601,4294.145601,4294.145601,4294.145601,KC,QB,True,QB,KC,STARTER,STARTER,1,True,Ourlads depth chart,KC,KC,False,00-0033873,3139477,Patrick Mahomes,False,0.0,1.0,34.3529411765,34.3529411765,0.0,1.0,False,True,MEDIUM,,Head coach retained; offensive coordinator changed.,0.9773752694,0.9943438174,DEN,0.9440794587,0.9860198647,0.9943438174,245.0,255.7006699,254.523596211,253.0839642652,14.0,256.214286,251.078125,0.9,0.89,True,14.86,4165.0,3782.2206396955,3760.8277089802,False,254.523596211,253.0839642652,False,False,Patrick Mahomes,KC,passingYards,STARTER,Ourlads depth chart,2441.0,3760.8277089802,1319.8277089802,0.0,14.86,249.5458161969,,1.0,False,22.0,1.5714,0.9878,1.5522,0.0,23.07,1.5305
00-0040691,Jaxson Dart,QB,NYG,2026.0,23.305728,1.0,14.0,1.0,14.0,STARTER,1.0,False,4165.0,2758.857143,3391.076923,3391.076923,3391.076923,3391.076923,NYG,QB,True,QB,NYG,STARTER,STARTER,2,True,Ourlads depth chart,NYG,NYG,False,00-0040691,4689114,Jaxson Dart,False,0.0,1.0,30.8235294118,30.8235294118,0.0,1.0,True,True,LOW,,New head coach and offensive staff.,1.0342491959,1.008562299,DAL,1.1836337307,1.04,1.008562299,245.0,170.5571426,178.745856914,180.2763323827,14.0,162.285714,245.0,0.9,0.89,True,15.24,4165.0,2724.0868593694,2747.4113055116,False,178.745856914,180.2763323827,False,False,Jaxson Dart,NYG,passingYards,STARTER,Ourlads depth chart,1443.0,2747.4113055116,1304.4113055116,0.0,15.24,187.487385678,,1.0,False,15.0,1.0714,1.1109,1.1902,0.0,18.14,1.2378
00-0039918,Caleb Williams,QB,CHI,2026.0,24.786936,2.0,34.0,2.0,17.0,STARTER,1.0,False,4165.0,3830.41869,3830.967094,3926.411295,3926.411295,3926.411295,CHI,QB,True,QB,CHI,STARTER,STARTER,1,True,Ourlads depth chart,CHI,CHI,False,00-0039918,4431611,Caleb Williams,False,0.0,1.0,33.6470588235,33.6470588235,0.0,1.0,False,True,MEDIUM,,Head coach retained; offensive coordinator changed.,0.9443874681,0.986096867,CAR,0.957431664,0.989357916,0.986096867,245.0,229.5235295,231.225941255,228.0111762443,17.0,231.882353,208.294118,0.9,0.89,True,16.8,4165.0,3884.595813084,3830.5877609037,False,231.225941255,228.0111762443,False,False,Caleb Williams,CHI,passingYards,STARTER,Ourlads depth chart,2590.0,3830.5877609037,1240.5877609037,0.0,16.8,225.5846621557,,1.0,False,27.0,1.5882,0.9833,1.5617,0.0,26.24,1.5451
