subset,model,modelLabel,rows,contextEligibleRows,rateMae,rateRmse,rateBias,rateMaeImprovementPct,totalMae,totalRmse,totalBias,totalMaeImprovementPct
STABLE_STARTERS,role_generic,Current generic role line,1604,1604,20.825410,27.459590,6.887388,0.000000,476.644888,682.914042,326.115212,0.000000
STABLE_STARTERS,last_season,Last-season player baseline,1604,1604,17.054519,22.204081,4.836292,18.107164,374.092444,545.727650,143.044003,21.515482
STABLE_STARTERS,last_season_context,Last season + QB/team/coach/scheme/matchup context,1604,1604,17.033611,22.242698,4.689670,18.207563,373.947755,546.407359,140.828784,21.545838
CHANGED_TEAM,role_generic,Current generic role line,1115,288,26.111565,44.798492,1.329460,0.000000,412.462422,690.812223,236.118045,0.000000
CHANGED_TEAM,last_season,Last-season player baseline,1115,288,24.916783,43.569965,-0.824331,4.575683,363.902101,610.094946,155.122737,11.773271
CHANGED_TEAM,last_season_context,Last season + QB/team/coach/scheme/matchup context,1115,288,24.955497,43.607125,-0.838311,4.427415,364.575384,611.154870,154.856360,11.610037
CHANGED_QUARTERBACK,role_generic,Current generic role line,1925,607,18.910430,26.447023,8.165058,0.000000,335.037413,467.487133,237.150057,0.000000
CHANGED_QUARTERBACK,last_season,Last-season player baseline,1925,607,17.698942,25.041267,6.242726,6.406458,299.986811,427.151183,171.837571,10.461698
CHANGED_QUARTERBACK,last_season_context,Last season + QB/team/coach/scheme/matchup context,1925,607,17.683740,25.031829,6.127871,6.486843,300.043209,427.022954,170.106953,10.444865
CHANGED_COACH_OR_OC,role_generic,Current generic role line,1004,350,23.635578,37.957391,4.886426,0.000000,409.194014,639.056659,257.458576,0.000000
CHANGED_COACH_OR_OC,last_season,Last-season player baseline,1004,350,22.657217,36.789373,3.374127,4.139358,370.727223,583.637367,174.920874,9.400624
CHANGED_COACH_OR_OC,last_season_context,Last season + QB/team/coach/scheme/matchup context,1004,350,22.680387,36.801542,3.326348,4.041325,370.986634,583.926423,174.220842,9.337228
SHORT_PRIOR_SEASON,role_generic,Current generic role line,2137,280,26.926156,46.312225,1.224258,0.000000,399.460781,651.952572,229.208587,0.000000
SHORT_PRIOR_SEASON,last_season,Last-season player baseline,2137,280,26.397315,45.872953,0.694727,1.964043,380.495723,620.013004,177.144752,4.747665
SHORT_PRIOR_SEASON,last_season_context,Last season + QB/team/coach/scheme/matchup context,2137,280,26.389388,45.873420,0.675200,1.993482,380.494175,620.206046,176.885730,4.748052
DEPTH_VERIFIED,role_generic,Current generic role line,3923,1489,24.420886,38.954779,3.629819,0.000000,420.236281,634.553461,240.050423,0.000000
DEPTH_VERIFIED,last_season,Last-season player baseline,3923,1489,23.024725,37.755922,2.864126,5.717077,384.260355,589.801764,171.680095,8.560881
DEPTH_VERIFIED,last_season_context,Last season + QB/team/coach/scheme/matchup context,3923,1489,23.014730,37.759279,2.801853,5.758008,384.213080,589.942971,170.752497,8.572130
